표제어	품사	세종태그	어깨번호	뜻풀이	지역
가갭다	[형용사][방언]	VA	00_00_00	가볍다	4, 15, 16, 18
가겁다	[형용사][방언]	VA	00_00_00	가볍다	4, 15
가겟바	[명사][방언]	NNG	00_00_00	가겟방	4
가굽다	[형용사][방언]	VA	00_00_00	가볍다	4, 14, 15, 16
가껌	[부사][방언]	MAG	00_00_00	가끔	4, 6, 7, 12, 20
가껍다	[형용사][방언]	VA	00_00_00	가깝다	4, 5, 11
가께	[명사][방언]	NNG	00_00_00	가위	4
가꾸목	[명사][방언]	NNG	00_00_00	각목	4
가꿈가꿈	[부사][방언]	MAG	00_00_00	가끔가끔	4
가꿈가더	[부사][방언]	MAG	00_00_00	가끔가다	4
가꿈가더가	[부사][방언]	MAG	00_00_00	가끔가다가	4
가꿈가더거	[부사][방언]	MAG	00_00_00	가끔가다가	4
가꿈가드거	[부사][방언]	MAG	00_00_00	가끔가다가	4
가꿉데가꿉다	[형용사][방언]	VA	00_00_00	가깝디가깝다	4
가난배이	[명사][방언]	NNG	00_00_00	가난뱅이	4
가난재이	[명사][방언]	NNG	00_00_00	가난뱅이	4
가날푸다	[형용사][방언]	VA	00_00_00	가냘프다	4, 6, 7, 11, 12
가내이	[명사][방언]	NNG	00_00_00	강냉이	4, 6
가느다	[형용사][방언]	VA	00_00_00	가늘다	4, 6, 7, 16, 20
가느다라하다	[형용사][방언]	VA	00_00_00	가느다랗다	4
가느다하다	[형용사][방언]	VA	00_00_00	가느다랗다	4
가느데가늘다	[형용사][방언]	VA	00_00_00	가늘디가늘다	4
가느시룸하다	[형용사][방언]	VA	00_00_00	가느스름하다	4
가느시룸히	[부사][방언]	MAG	00_00_00	가느스름히	4
가다리	[명사][방언]	NNG	00_00_00	가닥	4, 14
가다리무	[명사][방언]	NNG	00_00_00	가랑무	4
가다리무꾸	[명사][방언]	NNG	00_00_00	가랑무	4
가다리지다	[동사][방언]	VV	00_00_00	가랑이지다	4
가닥잎	[명사][방언]	NNG	00_00_00	가랑잎	4
가닥지	[명사][방언]	NNG	00_00_00	가닥	4
가달	[명사][방언]	NNG	00_00_00	가닥	4
가달가달	[부사][방언]	MAG	00_00_00	가닥가닥	4
가달무	[명사][방언]	NNG	00_00_00	가랑무	4
가달무꾸	[명사][방언]	NNG	00_00_00	가랑무	4
가달배무	[명사][방언]	NNG	00_00_00	가랑무	4
가달배이	[명사][방언]	NNG	00_00_00	가닥	4
가달배이무꾸	[명사][방언]	NNG	00_00_00	가랑무	4, 15
가달뱅이	[명사][방언]	NNG	00_00_00	가랑이	4
가달뱅이무	[명사][방언]	NNG	00_00_00	가랑무	4
가달지다	[동사][방언]	VV	00_00_00	가랑이지다	4
가달패기	[명사][방언]	NNG	00_00_00	가닥	4
가달피이	[명사][방언]	NNG	00_00_00	가닥	4
가더가	[부사][방언]	MAG	00_00_00	가다가	4
가더가더	[부사][방언]	MAG	00_00_00	가다가다	4
가더거	[부사][방언]	MAG	00_00_00	가다가	4
가더기	[명사][방언]	NNG	00_00_01	극젱이	4
가덕가덕	[부사][방언]	MAG	00_00_00	가득가득	4
가덕가덕하다	[형용사][방언]	VA	00_00_00	가득가득하다	4
가데기	[명사][방언]	NNG	00_00_00	극젱이	4
가두기	[명사][방언]	NNG	01_00_00	가랑잎	4, 14, 15, 16
가두쿠다	[동사][방언]	VV	00_00_00	가두다	4
가둑잎	[명사][방언]	NNG	00_00_00	가랑잎	4, 15, 16, 18, 19, 20
가둥질	[명사][방언]	NNG	00_00_00	가동질	4
가둥질하다	[동사][방언]	VV	00_00_00	가동질하다	4
가드거	[부사][방언]	MAG	00_00_00	가다가	4
