표제어	품사	세종태그	어깨번호	뜻풀이	지역
가까시	[부사][방언]	MAG	00_00_00	가까스로	5
가껍다	[형용사][방언]	VA	00_00_00	가깝다	4, 5, 11
가꼽다	[형용사][방언]	VA	00_00_00	가깝다	5
가나부	[명사][방언]	NNG	00_00_00	간호부	5, 13, 14, 18, 19
가난애기	[명사][방언]	NNG	00_00_00	갓난아기	5, 18
가난어린애	[명사][방언]	NNG	00_00_00	갓난아이	5, 18
가는비	[명사][방언]	NNG	00_00_00	가랑비	5, 6, 8, 9, 11, 13, 14, 15, 16, 17, 18, 20
가다배추	[명사][방언]	NNG	00_00_00	양배추	5, 7, 18, 20
가닥도토리낭구	[명사][방언]	NNG	00_00_00	상수리나무	5
가도토리	[명사][방언]	NNG	00_00_00	상수리	5, 12
가도토리나무	[명사][방언]	NNG	00_00_00	떡갈나무	5
가라치다	[동사][방언]	VV	00_00_00	가리키다	4, 5, 6, 7, 8, 9, 10, 11, 12
가랑밥	[명사][방언]	NNG	00_00_00	누룽지	5
가래이	[명사][방언]	NNG	00_00_00	가랑이	4, 5, 6, 7, 8, 9, 10, 11, 12
가럽다	[형용사][방언]	VA	00_00_00	가렵다	5, 7, 11, 16, 18, 20
가롭다	[형용사][방언]	VA	00_00_00	가렵다	5
가룻비누	[명사][방언]	NNG	00_00_00	가루비누	5, 11
가름마	[명사][방언]	NNG	00_00_00	가르마	4, 5, 7, 11, 12
가름마	[명사][방언]	NNG	00_00_00	가마	5
가름바	[명사][방언]	NNG	00_00_00	가르마	5, 11
가름자	[명사][방언]	NNG	00_00_00	가르마	5, 11
가리매	[명사][방언]	NNG	00_00_00	가르마	5, 6, 7, 8, 9, 11, 15, 18, 20
가마섯	[명사][방언]	NNG	00_00_00	가마솥	5
가마솟	[명사][방언]	NNG	00_00_00	가마솥	5, 8, 9, 11, 12
가마이	[명사][방언]	NNG	00_00_00	가마니	4, 5, 6, 7, 8, 9, 10, 11, 12, 18, 20
가마이	[부사][방언]	MAG	00_00_00	가만히	4, 5, 6, 7, 8, 12
가마짝	[명사][방언]	NNG	00_00_00	가마니	5
가마틀	[명사][방언]	NNG	00_00_00	가마니틀	5
