표제어	품사	세종태그	어깨번호	뜻풀이	지역
가가다	[동사][방언]	VV	00_00_00	가져가다	6
가감성	[명사][방언]	NNG	00_00_00	과감성	6
가감시럽다	[형용사][방언]	VA	00_00_00	과감스럽다	6
가감시리	[부사][방언]	MAG	00_00_00	과감스레	6
가감히	[부사][방언]	MAG	00_00_00	과감히	6
가개	[명사][방언]	NNG	01_00_00	홍역	6
가거방하다	[형용사][방언]	VA	00_00_00	비슷하다	6
가거사	[명사][방언]	NNG	00_00_00	과거사	6
가거지방하다	[형용사][방언]	VA	00_00_00	비슷하다	6
가거지사	[명사][방언]	NNG	00_00_00	과거지사	6
가검자리	[명사][방언]	NNG	00_00_00	가장자리	6
가겍	[명사][방언]	NNG	00_00_00	가격	6
가겍	[명사][방언]	NNG	02_00_00	과격	6
가겍하다	[형용사][방언]	VA	00_00_00	과격하다	6
가겹다	[형용사][방언]	VA	00_00_00	가볍다	6, 7, 13, 14, 19, 20
가구간	[명사][방언]	NNG	00_00_00	외양간	6, 7, 20
가그랑비	[명사][방언]	NNG	00_00_01	가랑비	6
가껌	[부사][방언]	MAG	00_00_00	가끔	4, 6, 7, 12, 20
가날푸다	[형용사][방언]	VA	00_00_00	가냘프다	4, 6, 7, 11, 12
가내이	[명사][방언]	NNG	00_00_00	강냉이	4, 6
가녁판	[명사][방언]	NNG	00_00_00	과녁판	6
가눌다	[형용사][방언]	VA	00_00_00	가늘다	6, 8, 9, 18
가느다	[형용사][방언]	VA	00_00_00	가늘다	4, 6, 7, 16, 20
가느다라다	[형용사][방언]	VA	00_00_00	가느다랗다	6, 7
가느다란하다	[형용사][방언]	VA	00_00_00	가느다랗다	6, 7, 12
가느다람하다	[형용사][방언]	VA	00_00_00	가느다랗다	6
가느다런하다	[형용사][방언]	VA	00_00_00	가느다랗다	6
가느다름하다	[형용사][방언]	VA	00_00_00	가느스름하다	6
가느렇다	[형용사][방언]	VA	00_00_00	가느다랗다	6
가느소롬하다	[형용사][방언]	VA	00_00_00	가느스름하다	6
가느수럼하다	[형용사][방언]	VA	00_00_00	가느스름하다	6
가는국수	[명사][방언]	NNG	00_00_00	실국수	6
가는비	[명사][방언]	NNG	00_00_00	가랑비	5, 6, 8, 9, 11, 13, 14, 15, 16, 17, 18, 20
가늘라	[명사][방언]	NNG	00_00_00	갓난아이	6, 7
가대기질	[명사][방언]	NNG	00_00_00	가대기	6
가대이	[명사][방언]	NNG	02_00_00	까대기	6
가대평가	[명사][방언]	NNG	00_00_00	과대평가	6
가대평가하다	[동사][방언]	VV	00_00_00	과대평가하다	6
가더기	[명사][방언]	NNG	00_00_02	써레	6
가덜배차	[명사][방언]	NNG	00_00_00	양배추	6, 20
가뒤다	[동사][방언]	VV	00_00_00	갇히다	6
가따리	[명사][방언]	NNG	00_00_00	가짜	6
가똑떼이	[명사][방언]	NNG	00_00_00	과똑똑이	6
가똑떽이	[명사][방언]	NNG	00_00_00	과똑똑이	6
가똑띠이	[명사][방언]	NNG	00_00_00	과똑똑이	6
가똑띡이	[명사][방언]	NNG	00_00_00	과똑똑이	6
가뜩차다	[형용사][방언]	VA	00_00_00	가뜩하다	6, 7, 20
가라다	[동사][방언]	VV	00_00_00	가리다	6
가라빼다	[동사][방언]	VV	00_00_00	빼닮다	6
가라추자	[명사][방언]	NNG	00_00_00	가래	6
가라치다	[동사][방언]	VV	00_00_00	가르치다	6, 7, 8, 13
가라치다	[동사][방언]	VV	00_00_00	가리키다	4, 5, 6, 7, 8, 9, 10, 11, 12
가락비	[명사][방언]	NNG	00_00_00	가랑비	6, 7
가락싱이	[명사][방언]	NNG	00_00_00	둥우리막대	6
가랍다	[형용사][방언]	VA	00_00_00	가렵다	6, 8, 9, 10, 13, 15, 16, 18, 20
가랑테이	[명사][방언]	NNG	00_00_00	가랑이	6
가랑텡이길	[명사][방언]	NNG	00_00_00	갈림길	6
가랑파	[명사][방언]	NNG	00_00_00	실파	6, 7
가래	[명사][방언]	NNG	07_00_00	낟가리	6
가래매	[명사][방언]	NNG	00_00_00	가르마	6, 9
가래미	[명사][방언]	NNG	00_00_00	가르마	6
