표제어	품사	세종태그	어깨번호	뜻풀이	지역
가것방	[명사][방언]	NNG	00_00_00	가겟방	7
가겹다	[형용사][방언]	VA	00_00_00	가볍다	6, 7, 13, 14, 19, 20
가구간	[명사][방언]	NNG	00_00_00	외양간	6, 7, 20
가구재이	[명사][방언]	NNG	01_00_00	가랑이	7
가구쟁이	[명사][방언]	NNG	00_00_00	가랑이	7
가껌	[부사][방언]	MAG	00_00_00	가끔	4, 6, 7, 12, 20
가꼬	[명사][방언]	NNG	00_00_00	액자	7
가꼼	[부사][방언]	MAG	00_00_00	가끔	7
가날푸다	[형용사][방언]	VA	00_00_00	가냘프다	4, 6, 7, 11, 12
가냘푸다	[형용사][방언]	VA	00_00_00	가냘프다	7
가널푸다	[형용사][방언]	VA	00_00_00	가냘프다	7
가널프다	[형용사][방언]	VA	00_00_00	가냘프다	7
가느다	[형용사][방언]	VA	00_00_00	가늘다	4, 6, 7, 16, 20
가느다라다	[형용사][방언]	VA	00_00_00	가느다랗다	6, 7
가느다란하다	[형용사][방언]	VA	00_00_00	가느다랗다	6, 7, 12
가느수룸하다	[형용사][방언]	VA	00_00_00	가느스름하다	7
가늘따	[형용사][방언]	VA	00_00_00	가늘다	7
가늘라	[명사][방언]	NNG	00_00_00	갓난아이	6, 7
가늠베	[명사][방언]	NNG	00_00_00	가르마	7
가다배추	[명사][방언]	NNG	00_00_00	양배추	5, 7, 18, 20
가다재이	[명사][방언]	NNG	00_00_00	멋쟁이	7
가대기가대기	[부사][방언]	MAG	00_00_00	가닥가닥	7
가대이	[명사][방언]	NNG	00_00_00	가닥	7
가두땡이	[명사][방언]	NNG	00_00_00	대님	7
가드나	[명사][방언]	NNG	00_00_00	갓난아이	7, 20
가디기가디기	[부사][방언]	MAG	00_00_00	가닥가닥	7
가뜩차다	[형용사][방언]	VA	00_00_00	가뜩하다	6, 7, 20
가라이	[명사][방언]	NNG	00_00_00	가랑이	4, 7, 8, 11, 12
가라치다	[동사][방언]	VV	00_00_00	가르치다	6, 7, 8, 13
가라치다	[동사][방언]	VV	00_00_00	가리키다	4, 5, 6, 7, 8, 9, 10, 11, 12
가락꼬지	[명사][방언]	NNG	00_00_00	가락꼬치	7
가락비	[명사][방언]	NNG	00_00_00	가랑비	6, 7
가랑이파리	[명사][방언]	NNG	00_00_00	가랑잎	4, 7
가랑잎사구	[명사][방언]	NNG	00_00_00	가랑잎	7
가랑파	[명사][방언]	NNG	00_00_00	실파	6, 7
가래	[명사][방언]	NNG	08_00_00	꼭지	7
가래	[명사][방언]	NNG	09_00_00	어리	7
가래기가래기	[부사][방언]	MAG	00_00_00	가닥가닥	7
가래이	[명사][방언]	NNG	00_00_00	가랑이	4, 5, 6, 7, 8, 9, 10, 11, 12
가래이	[명사][방언]	NNG	00_00_00	가리	7
