표제어	품사	세종태그	어깨번호	뜻풀이	지역
가가시	[부사][방언]	MAG	00_00_00	가까스로	8
가걔	[명사][방언]	NNG	00_00_00	가게	8
가그매	[명사][방언]	NNG	00_00_00	가르마	8
가그매	[명사][방언]	NNG	00_00_00	가마	8
가그매	[명사][방언]	NNG	03_00_00	풍세	8
가급다	[형용사][방언]	VA	00_00_00	가볍다	8
가까시로	[부사][방언]	MAG	00_00_00	가까스로	8
가끕다	[형용사][방언]	VA	00_00_00	가깝다	8
가나그	[명사][방언]	NNG	00_00_00	계집아이	8
가난배기	[명사][방언]	NNG	00_00_00	가난뱅이	8, 9
가날프다	[형용사][방언]	VA	00_00_00	가냘프다	8
가남	[명사][방언]	NNG	00_00_00	가늠	8, 9, 10
가남없다	[형용사][방언]	VA	00_00_00	대중없다	8
가남허다	[동사][방언]	VV	00_00_00	가늠하다	8
가녑하다	[동사][방언]	VV	00_00_00	감추다	8
가녑허다	[동사][방언]	VV	00_00_00	간섭하다	8, 9
가노롬허다	[형용사][방언]	VA	00_00_00	가느스름하다	8, 9
가눌다	[형용사][방언]	VA	00_00_00	가늘다	6, 8, 9, 18
가눔	[명사][방언]	NNG	00_00_00	가늠	8
가눕다	[형용사][방언]	VA	00_00_00	가늘다	8
가느소롬허다	[형용사][방언]	VA	00_00_00	가느스름하다	8, 9
가느소름허다	[형용사][방언]	VA	00_00_00	가느스름하다	8, 9
가느스럼하다	[형용사][방언]	VA	00_00_00	가느스름하다	8, 9
가느스롬허다	[형용사][방언]	VA	00_00_00	가느스름하다	8, 9
가는갈키노물	[명사][방언]	NNG	00_00_00	가는갈퀴나물	8
가는갈키노믈	[명사][방언]	NNG	00_00_00	가는갈퀴나물	8, 9
가는귀묵다	[동사][방언]	VV	00_00_00	가는귀먹다	8
가는비	[명사][방언]	NNG	00_00_00	가랑비	5, 6, 8, 9, 11, 13, 14, 15, 16, 17, 18, 20
가늘하다	[형용사][방언]	VA	00_00_00	가늘다	8
가늘허다	[형용사][방언]	VA	00_00_00	가난하다	8
가늘허다	[형용사][방언]	VA	00_00_00	가늘다	8, 9
가다구	[명사][방언]	NNG	00_00_00	가닥	8, 9
가다지다	[동사][방언]	VV	00_00_00	갇히다	8
가달썩	[명사][방언]	NNG	00_00_00	자갈	8, 9, 10
가덕하다	[형용사][방언]	VA	00_00_00	가득하다	8
가둥끄리다	[동사][방언]	VV	00_00_00	가든그리다	8, 9
가득차다	[형용사][방언]	VA	00_00_00	가득하다	8
가뜩채다	[형용사][방언]	VA	00_00_00	가뜩하다	8
가라막다	[동사][방언]	VV	00_00_00	가로막다	8
