표제어	품사	세종태그	어깨번호	뜻풀이	지역
가꼼살이	[명사][방언]	NNG	00_00_00	소꿉질	9
가난배기	[명사][방언]	NNG	00_00_00	가난뱅이	8, 9
가남	[명사][방언]	NNG	00_00_00	가늠	8, 9, 10
가녑허다	[동사][방언]	VV	00_00_00	간섭하다	8, 9
가노롬허다	[형용사][방언]	VA	00_00_00	가느스름하다	8, 9
가눌다	[형용사][방언]	VA	00_00_00	가늘다	6, 8, 9, 18
가느소롬허다	[형용사][방언]	VA	00_00_00	가느스름하다	8, 9
가느소름허다	[형용사][방언]	VA	00_00_00	가느스름하다	8, 9
가느스럼하다	[형용사][방언]	VA	00_00_00	가느스름하다	8, 9
가느스롬허다	[형용사][방언]	VA	00_00_00	가느스름하다	8, 9
가는갈키노믈	[명사][방언]	NNG	00_00_00	가는갈퀴나물	8, 9
가는비	[명사][방언]	NNG	00_00_00	가랑비	5, 6, 8, 9, 11, 13, 14, 15, 16, 17, 18, 20
가늘허다	[형용사][방언]	VA	00_00_00	가늘다	8, 9
가다구	[명사][방언]	NNG	00_00_00	가닥	8, 9
가달썩	[명사][방언]	NNG	00_00_00	자갈	8, 9, 10
가둥끄리다	[동사][방언]	VV	00_00_00	가든그리다	8, 9
가둬지다	[동사][방언]	VV	00_00_00	갇히다	9
가라치다	[동사][방언]	VV	00_00_00	가리키다	4, 5, 6, 7, 8, 9, 10, 11, 12
가라투	[명사][방언]	NNG	00_00_00	가래톳	9
가락홀태	[명사][방언]	NNG	00_00_00	벼훑이	8, 9, 11
가랍다	[형용사][방언]	VA	00_00_00	가렵다	6, 8, 9, 10, 13, 15, 16, 18, 20
가래고쟁이	[명사][방언]	NNG	00_00_00	고쟁이	8, 9
가래꼬장중우	[명사][방언]	NNG	00_00_00	고쟁이	9
가래똘	[명사][방언]	NNG	00_00_00	가래톳	9
가래매	[명사][방언]	NNG	00_00_00	가르마	6, 9
가래이	[명사][방언]	NNG	00_00_00	가랑이	4, 5, 6, 7, 8, 9, 10, 11, 12
가래중우	[명사][방언]	NNG	00_00_00	중의	8, 9
