표제어	품사	세종태그	어깨번호	뜻풀이	지역
가가비	[명사][방언]	NNG	00_00_00	개구리	10
가가비새끼	[명사][방언]	NNG	00_00_00	올챙이	10
가갈레비연	[명사][방언]	NNG	00_00_00	가오리연	10
가개비	[명사][방언]	NNG	00_00_00	개구리	10
가게비	[명사][방언]	NNG	00_00_00	개구리	10
가게비참웨	[명사][방언]	NNG	00_00_00	개구리참외	10
가골라비	[명사][방언]	NNG	00_00_00	가오리연	10
가굴레비	[명사][방언]	NNG	00_00_00	가오리연	10
가굴레비	[명사][방언]	NNG	00_00_00	개구리	10
가깝하다	[형용사][방언]	VA	00_00_00	갑갑하다	10
가끄다	[동사][방언]	VV	02_00_00	깎다	10
가끄다	[동사][방언]	VV	01_00_00	자르다	10
가끼다	[동사][방언]	VV	00_00_01	갑시다	10
가난방이	[명사][방언]	NNG	00_00_00	가난뱅이	10
가남	[명사][방언]	NNG	00_00_00	가늠	8, 9, 10
가남하다	[동사][방언]	VV	00_00_00	가늠하다	10
가냐귀	[명사][방언]	NNG	00_00_01	까마귀	10
가노롬하다	[형용사][방언]	VA	00_00_00	가느다랗다	10
가노롱하다	[형용사][방언]	VA	00_00_00	가느다랗다	10
가노롱하다	[형용사][방언]	VA	00_00_00	가느스름하다	10
가노소롱하다	[형용사][방언]	VA	00_00_00	가느스름하다	10
가노수룽하다	[형용사][방언]	VA	00_00_00	가느다랗다	10
가느수룽하다	[형용사][방언]	VA	00_00_00	가느스름하다	10
가느스롱하다	[형용사][방언]	VA	00_00_00	가느스름하다	10
가는가는하다	[형용사][방언]	VA	00_00_00	가늘디가늘다	10
가는귀막다	[동사][방언]	VV	00_00_00	가는귀먹다	10
가다귀섬	[명사][방언]	NNG	00_00_00	외딴섬	10
가다리비에기	[명사][방언]	NNG	00_00_00	재방어	10
가닥거리다	[동사][방언]	VV	00_00_00	거드럭거리다	10
가닥거리다	[동사][방언]	VV	01_00_00	끄덕거리다	10
가닥섬	[명사][방언]	NNG	00_00_00	외딴섬	10
가닥이다	[동사][방언]	VV	00_00_00	까닥이다	10
가닥질	[명사][방언]	NNG	00_00_00	가댁질	10
가닥질하다	[동사][방언]	VV	00_00_00	가댁질하다	10
가달거리	[명사][방언]	NNG	00_00_00	가댁질	10
가달거리하다	[동사][방언]	VV	00_00_00	가댁질하다	10
가달머리	[명사][방언]	NNG	00_00_00	가닥	10
가달석	[명사][방언]	NNG	00_00_00	굴레	10
가달썩	[명사][방언]	NNG	00_00_00	자갈	8, 9, 10
가달춤	[명사][방언]	NNG	00_00_00	가댁질	10
가달춤추다	[동사][방언]	VV	00_00_00	가댁질하다	10
가닷담	[명사][방언]	NNG	00_00_00	거섶	10
가대	[명사][방언]	NNG	00_00_00	갈대	10
가동강가동강	[부사][방언]	MAG	00_00_00	가동가동	10
가동강가동강	[감탄사][방언]	IC	00_00_00	가동가동	10
가드락하다	[형용사][방언]	VA	00_00_00	거만하다	10
가득다	[형용사][방언]	VA	00_00_00	가득하다	10
가들락가들락	[부사][방언]	MAG	00_00_00	가드락가드락	10
가들락가들락하다	[동사][방언]	VV	00_00_00	거드럭거드럭하다	10
가들락가들락하다	[동사][방언]	VV	01_00_00	꿈틀꿈틀하다	10
가들락거리다	[동사][방언]	VV	00_00_00	거드럭거리다	10
가들랑하다	[동사][방언]	VV	00_00_00	거드럭거리다	10
가딱	[부사][방언]	MAG	00_00_00	까딱	10
가딱거리다	[동사][방언]	VV	00_00_00	거드럭거리다	10
가딱하다	[동사][방언]	VV	00_00_00	까딱하다	10
가뜨다	[형용사][방언]	VA	00_00_00	같다	10
가라기	[명사][방언]	NNG	00_00_00	가락	10
가라쉐	[명사][방언]	NNG	00_00_00	검정소	10
가라치다	[동사][방언]	VV	00_00_00	가리키다	4, 5, 6, 7, 8, 9, 10, 11, 12
가락주	[명사][방언]	NNG	00_00_00	가락지	10
가락쥐	[명사][방언]	NNG	00_00_00	가락지	10
가락지고사리	[명사][방언]	NNG	00_00_00	섬꿩고사리	10
가랍다	[형용사][방언]	VA	00_00_00	가렵다	6, 8, 9, 10, 13, 15, 16, 18, 20
가랏	[명사][방언]	NNG	02_00_00	가라지	10
가랑중이	[명사][방언]	NNG	00_00_00	생쥐	10
가랑쥉이	[명사][방언]	NNG	00_00_00	생쥐	10
가랑쥐	[명사][방언]	NNG	00_00_00	생쥐	10
가랑쥥이	[명사][방언]	NNG	00_00_00	생쥐	10
가래덕석	[명사][방언]	NNG	00_00_00	맷방석	10
가래말	[명사][방언]	NNG	00_00_00	가라말	10
가래이	[명사][방언]	NNG	00_00_00	가랑이	4, 5, 6, 7, 8, 9, 10, 11, 12
가레	[명사][방언]	NNG	02_00_00	맷돌	10
가레갊	[명사][방언]	NNG	00_00_00	맷돌질	10
