표제어	품사	세종태그	어깨번호	뜻풀이	지역
가갭다	[형용사][방언]	VA	00_00_00	가볍다	4, 15, 16, 18
가꿀르	[부사][방언]	MAG	00_00_00	거꾸로	16, 18
가나부	[명사][방언]	NNG	00_00_00	간호부	5, 13, 14, 18, 19
가난애기	[명사][방언]	NNG	00_00_00	갓난아기	5, 18
가난어린애	[명사][방언]	NNG	00_00_00	갓난아이	5, 18
가눌다	[형용사][방언]	VA	00_00_00	가늘다	6, 8, 9, 18
가는비	[명사][방언]	NNG	00_00_00	가랑비	5, 6, 8, 9, 11, 13, 14, 15, 16, 17, 18, 20
가다배추	[명사][방언]	NNG	00_00_00	양배추	5, 7, 18, 20
가둑낭기	[명사][방언]	NNG	00_00_00	졸참나무	15, 16, 18, 20
가둑잎	[명사][방언]	NNG	00_00_00	가랑잎	4, 15, 16, 18, 19, 20
가랍다	[형용사][방언]	VA	00_00_00	가렵다	6, 8, 9, 10, 13, 15, 16, 18, 20
가럽다	[형용사][방언]	VA	00_00_00	가렵다	5, 7, 11, 16, 18, 20
가루보다	[동사][방언]	VV	00_00_00	가로보다	16, 18
가르매	[명사][방언]	NNG	00_00_00	가르마	4, 6, 7, 8, 9, 11, 12, 15, 18, 20
가리금	[명사][방언]	NNG	00_00_00	가르마	16, 18
가리매	[명사][방언]	NNG	00_00_00	가르마	5, 6, 7, 8, 9, 11, 15, 18, 20
가림금	[명사][방언]	NNG	00_00_00	가르마	16, 18
가마구	[명사][방언]	NNG	00_00_00	까마귀	4, 6, 8, 9, 10, 13, 14, 15, 18, 19
가마시	[명사][방언]	NNG	00_00_00	가마니	16, 18
가마이	[명사][방언]	NNG	00_00_00	가마니	4, 5, 6, 7, 8, 9, 10, 11, 12, 18, 20
가매부	[명사][방언]	NNG	00_00_00	들보	15, 16, 18, 20
가매솔	[명사][방언]	NNG	00_00_00	솥솔	13, 14, 15, 16, 18, 19, 20
가매솔비	[명사][방언]	NNG	00_00_00	솥솔	16, 18
가비매개	[명사][방언]	NNG	00_00_00	대님	16, 18
가새다리	[명사][방언]	NNG	00_00_00	가위다리	4, 5, 7, 8, 9, 13, 15, 16, 18, 20
가스아바지	[명사][방언]	NNG	00_00_00	가시아버지	15, 16, 18, 20
가스어마니	[명사][방언]	NNG	00_00_00	가시어머니	16, 18
가스어마이	[명사][방언]	NNG	00_00_00	가시어머니	15, 16, 18
가시아부지	[명사][방언]	NNG	00_00_00	가시아버지	6, 15, 16, 18, 20
가시애비	[명사][방언]	NNG	00_00_00	가시아비	14, 15, 16, 18
가우데	[명사][방언]	NNG	00_00_00	가운데	16, 18
가즈난애기	[명사][방언]	NNG	00_00_00	갓난아기	16, 18
가터다	[형용사][방언]	VA	00_00_00	같다	4, 8, 9, 11, 16, 18
가투리	[명사][방언]	NNG	00_00_00	까투리	4, 6, 8, 9, 15, 16, 18
가티	[부사][방언]	MAG	00_00_00	같이	10, 13, 14, 16, 18, 19
각바	[명사][방언]	NNG	00_00_00	각반	8, 9, 18
갈그럽다	[형용사][방언]	VA	00_00_00	가렵다	11, 12, 18
갈름길	[명사][방언]	NNG	00_00_00	갈림길	4, 8, 9, 13, 14, 18, 19
갈름질	[명사][방언]	NNG	00_00_00	갈림길	8, 9, 11, 12, 18, 20
갈맥새	[명사][방언]	NNG	00_00_00	갈매기	16, 18
갈비뻬	[명사][방언]	NNG	00_00_00	갈비뼈	4, 6, 8, 9, 12, 13, 14, 18, 19, 20
갈비삐	[명사][방언]	NNG	00_00_00	갈비뼈	6, 7, 8, 9, 18, 20
갈쿠	[명사][방언]	NNG	00_00_00	갈퀴	5, 8, 9, 11, 18
갈키	[명사][방언]	NNG	00_00_00	갈고리	4, 6, 7, 8, 9, 11, 12, 18
갈키다	[동사][방언]	VV	00_00_00	가리키다	6, 7, 8, 9, 12, 18
갑재기	[부사][방언]	MAG	00_00_00	갑자기	4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19, 20
강낭	[명사][방언]	NNG	00_00_00	강냉이	4, 6, 7, 8, 9, 13, 14, 18, 19, 20
강낭기슭	[명사][방언]	NNG	00_00_00	기스락	18
강낭끝	[명사][방언]	NNG	00_00_00	기스락	18
강보리밥	[명사][방언]	NNG	00_00_00	꽁보리밥	13, 14, 18
강차위	[명사][방언]	NNG	02_00_00	삽	15, 16, 18
강차이	[명사][방언]	NNG	02_00_00	삽	16, 18
강털	[명사][방언]	NNG	00_00_00	강철	16, 18
강판쉐기	[명사][방언]	NNG	00_00_00	얼음지치기	16, 18
강판재기	[명사][방언]	NNG	00_00_00	얼음지치기	16, 18
개갭다	[형용사][방언]	VA	00_00_00	가볍다	4, 15, 16, 18, 20
개골물	[명사][방언]	NNG	00_00_00	개울물	8, 9, 18
개구래기	[명사][방언]	NNG	00_00_00	개구리	9, 15, 16, 18
개깝다	[형용사][방언]	VA	00_00_00	가볍다	6, 7, 11, 12, 18, 20
개똥버리	[명사][방언]	NNG	00_00_00	반딧불이	11, 12, 18
