표제어	품사	세종태그	어깨번호	뜻풀이	지역
가겹다	[형용사][방언]	VA	00_00_00	가볍다	6, 7, 13, 14, 19, 20
가꾸루	[부사][방언]	MAG	00_00_00	거꾸로	13, 14, 16, 19
가나부	[명사][방언]	NNG	00_00_00	간호부	5, 13, 14, 18, 19
가달배	[명사][방언]	NNG	00_00_00	양배추	13, 14, 19
가둑잎	[명사][방언]	NNG	00_00_00	가랑잎	4, 15, 16, 18, 19, 20
가마구	[명사][방언]	NNG	00_00_00	까마귀	4, 6, 8, 9, 10, 13, 14, 15, 18, 19
가마수세기	[명사][방언]	NNG	00_00_00	솥솔	14, 19
가막	[명사][방언]	NNG	00_00_00	감옥	7, 13, 14, 19, 20
가말치	[명사][방언]	NNG	02_00_00	누룽지	13, 14, 19
가말티	[명사][방언]	NNG	00_00_00	누룽지	14, 19
가매솔	[명사][방언]	NNG	00_00_00	솥솔	13, 14, 15, 16, 18, 19, 20
가법다	[형용사][방언]	VA	00_00_00	가볍다	4, 5, 8, 10, 12, 13, 14, 17, 19
가붑다	[형용사][방언]	VA	00_00_00	가볍다	4, 8, 9, 10, 11, 12, 13, 14, 19
가섹장	[명사][방언]	NNG	00_00_00	찬장	13, 14, 19
가쇼마니	[명사][방언]	NNG	00_00_00	가시어머니	14, 19
가스아바니	[명사][방언]	NNG	00_00_00	가시아버지	14, 19
가스오마니	[명사][방언]	NNG	00_00_00	가시어머니	14, 19
가슥장	[명사][방언]	NNG	00_00_00	찬장	13, 14, 19
가시아바니	[명사][방언]	NNG	00_00_00	가시아버지	14, 16, 19
가시아바지	[명사][방언]	NNG	00_00_00	가시아버지	13, 14, 19
가시오마니	[명사][방언]	NNG	00_00_00	가시어머니	14, 19
가식장	[명사][방언]	NNG	00_00_00	찬장	13, 14, 19
가오마니	[명사][방언]	NNG	00_00_00	가시어머니	13, 14, 19
가온데	[명사][방언]	NNG	00_00_00	가운데	6, 7, 10, 13, 14, 19
가이새끼	[명사][방언]	NNG	00_00_00	강아지	5, 13, 14, 19
가제미	[명사][방언]	NNG	00_00_00	가자미	4, 10, 14, 19
가지미	[명사][방언]	NNG	00_00_00	가자미	7, 8, 13, 14, 19
가티	[부사][방언]	MAG	00_00_00	같이	10, 13, 14, 16, 18, 19
갈구랭이	[명사][방언]	NNG	00_00_00	갈고랑이	4, 7, 13, 14, 15, 19, 20
갈름길	[명사][방언]	NNG	00_00_00	갈림길	4, 8, 9, 13, 14, 18, 19
갈비뻬	[명사][방언]	NNG	00_00_00	갈비뼈	4, 6, 8, 9, 12, 13, 14, 18, 19, 20
감당개	[명사][방언]	NNG	00_00_00	검둥개	13, 14, 19
감장콩	[명사][방언]	NNG	00_00_00	검정콩	13, 14, 19
갑재기	[부사][방언]	MAG	00_00_00	갑자기	4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19, 20
갓언나	[명사][방언]	NNG	00_00_00	갓난아이	14, 19
강낭	[명사][방언]	NNG	00_00_00	강냉이	4, 6, 7, 8, 9, 13, 14, 18, 19, 20
강에	[명사][방언]	NNG	00_00_00	가위	13, 14, 19
강워	[명사][방언]	NNG	00_00_00	가위	13, 14, 19
개굴물	[명사][방언]	NNG	00_00_00	개울물	13, 14, 19
개똥벌기	[명사][방언]	NNG	00_00_00	반딧불이	4, 6, 7, 13, 14, 16, 19, 20
개럽다	[형용사][방언]	VA	00_00_00	가렵다	4, 7, 8, 11, 12, 13, 14, 15, 17, 18, 19
개렵다	[형용사][방언]	VA	00_00_00	가렵다	4, 5, 8, 9, 11, 12, 13, 14, 17, 18, 19
개롭다	[형용사][방언]	VA	00_00_00	가렵다	4, 6, 7, 8, 9, 12, 14, 15, 19
개미솔	[명사][방언]	NNG	00_00_00	솥솔	13, 14, 19
개지다	[동사][방언]	VV	00_00_00	가지다	13, 14, 19
개체머리	[명사][방언]	NNG	00_00_00	채신머리	13, 14, 19
개체머리없다	[형용사][방언]	VA	00_00_00	채신머리없다	13, 14, 19
개체없다	[형용사][방언]	VA	00_00_00	채신없다	14, 19
개파랍다	[형용사][방언]	VA	00_00_00	가파르다	13, 14, 19
개파롭다	[형용사][방언]	VA	00_00_00	가파르다	13, 14, 19
개파릅다	[형용사][방언]	VA	00_00_00	가파르다	13, 14, 19
거꾸러치다	[동사][방언]	VV	00_00_00	거꾸러뜨리다	13, 14, 19
거네	[명사][방언]	NNG	01_00_00	그네	6, 7, 9, 14, 19, 20
거뜻하면	[부사][방언]	MAG	00_00_00	걸핏하면	13, 14, 19
거라지	[명사][방언]	NNG	00_00_00	거지	6, 8, 13, 14, 17, 19
거메이	[명사][방언]	NNG	00_00_00	그을음	13, 14, 19
거빕다	[형용사][방언]	VA	00_00_00	가볍다	13, 14, 19
거스럼	[명사][방언]	NNG	00_00_00	거스름	13, 14, 19
거스럼돈	[명사][방언]	NNG	00_00_00	거스름돈	11, 13, 14, 19
거제기	[명사][방언]	NNG	02_00_00	뜸	14, 19
거텃허면	[부사][방언]	MAG	00_00_00	걸핏하면	13, 14, 19
건네	[명사][방언]	NNG	02_00_00	그네	8, 9, 13, 14, 17, 19
건네집	[명사][방언]	NNG	00_00_00	건넌집	13, 14, 15, 16, 18, 19
걸츨다	[형용사][방언]	VA	00_00_00	거칠다	13, 14, 19
검덩가이	[명사][방언]	NNG	00_00_00	검둥개	13, 14, 19
검덩개	[명사][방언]	NNG	00_00_00	검둥개	13, 14, 16, 18, 19
검덩콩	[명사][방언]	NNG	00_00_00	검정콩	13, 14, 19
겁재이	[명사][방언]	NNG	00_00_00	겁쟁이	4, 6, 7, 8, 9, 13, 14, 15, 16, 17, 18, 19, 20
게글다	[형용사][방언]	VA	00_00_00	게으르다	13, 14, 19
게누다	[동사][방언]	VV	00_00_00	겨누다	8, 14, 19
게드랑이	[명사][방언]	NNG	00_00_00	겨드랑이	13, 14, 17, 19
게드래이	[명사][방언]	NNG	00_00_00	겨드랑이	13, 14, 19
게드랭이	[명사][방언]	NNG	00_00_00	겨드랑이	7, 9, 13, 14, 17, 19
게러기	[명사][방언]	NNG	00_00_00	기러기	13, 14, 19
게론	[명사][방언]	NNG	00_00_00	결혼	6, 8, 12, 13, 14, 15, 16, 18, 19
게를	[명사][의존][방언]	NNB	00_00_00	겨를	14, 15, 19, 20
게름배이	[명사][방언]	NNG	00_00_00	게으름뱅이	4, 7, 8, 14, 19
게릅다	[형용사][방언]	VA	00_00_00	괴롭다	4, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19
게릴	[명사][의존][방언]	NNB	00_00_00	겨를	13, 14, 19
게업	[명사][방언]	NNG	00_00_00	김	14, 19
게와집	[명사][방언]	NNG	00_00_00	기와집	6, 7, 8, 9, 11, 12, 13, 14, 19, 20
게울	[명사][방언]	NNG	00_00_00	거울	4, 6, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
게으리다	[형용사][방언]	VA	00_00_00	게으르다	6, 7, 13, 14, 19, 20
게을다	[형용사][방언]	VA	00_00_00	게으르다	7, 9, 13, 14, 19, 20
게을리다	[형용사][방언]	VA	00_00_00	게으르다	8, 14, 19
게입성	[명사][방언]	NNG	00_00_00	겹옷	13, 14, 19
게흐르다	[형용사][방언]	VA	00_00_00	게으르다	14, 19
게흘다	[형용사][방언]	VA	00_00_00	게으르다	14, 19
겐지다	[동사][방언]	VV	00_00_00	견디다	14, 19
겝	[명사][방언]	NNG	01_00_00	김	13, 19
겝옷	[명사][방언]	NNG	00_00_00	겹옷	6, 13, 14, 19
겥	[명사][방언]	NNG	00_00_00	곁	13, 14, 19
겨론	[명사][방언]	NNG	00_00_00	결혼	4, 5, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19, 20
고가서	[명사][방언]	NNG	00_00_00	교과서	6, 7, 14, 19, 20
고굼앓이	[명사][방언]	NNG	00_00_00	학질	13, 14, 15, 19, 20
고내이	[명사][방언]	NNG	01_00_00	고양이	4, 6, 7, 13, 14, 15, 19, 20
고달푸다	[형용사][방언]	VA	00_00_00	고달프다	4, 6, 7, 8, 9, 11, 12, 13, 14, 16, 18, 19, 20
고둥에	[명사][방언]	NNG	00_00_00	고등어	4, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19
고드럼	[명사][방언]	NNG	00_00_00	고드름	4, 5, 8, 13, 14, 19, 20
고드롬	[명사][방언]	NNG	00_00_00	고드름	6, 7, 8, 9, 13, 14, 18, 19, 20
고매끼	[명사][방언]	NNG	00_00_00	대님	6, 7, 13, 14, 15, 17, 19, 20
고스도치	[명사][방언]	NNG	00_00_00	고슴도치	13, 14, 19
고슴도티	[명사][방언]	NNG	00_00_00	고슴도치	13, 14, 19
고시랑머리	[명사][방언]	NNG	00_00_00	고수머리	6, 7, 8, 9, 13, 14, 18, 19, 20
고시파	[명사][방언]	NNG	00_00_00	잠방이	8, 9, 14, 16, 18, 19
고운닙성	[명사][방언]	NNG	00_00_00	때때옷	13, 14, 19
곤두막질	[명사][방언]	NNG	00_00_00	곤두박질	14, 19
곤두벌기	[명사][방언]	NNG	02_00_00	벼룩	13, 14, 19
곤디벌기	[명사][방언]	NNG	00_00_00	벼룩	14, 15, 19, 20
곤부벌기	[명사][방언]	NNG	00_00_00	벼룩	13, 14, 19
골매끼	[명사][방언]	NNG	00_00_00	대님	13, 14, 19
골매지	[명사][방언]	NNG	00_00_00	골마지	14, 19
골탱이	[명사][방언]	NNG	01_00_00	골마지	13, 14, 19
곰채기	[명사][방언]	NNG	00_00_00	곰팡이	13, 14, 19
과넉	[명사][방언]	NNG	00_00_00	과녁	13, 14, 19
과이	[명사][방언]	NNG	02_00_00	고양이	13, 14, 19
과자리	[명사][방언]	NNG	00_00_00	광주리	14, 19
곽제	[명사][방언]	NNG	00_00_00	갈퀴	13, 14, 19
광대질	[명사][방언]	NNG	00_00_00	곤두박질	13, 14, 19
광쥐	[명사][방언]	NNG	00_00_00	광주리	14, 19
괘다	[동사][방언]	VV	00_00_00	괴다	4, 13, 14, 19
괘럽다	[형용사][방언]	VA	00_00_00	괴롭다	14, 19
괘롭다	[형용사][방언]	VA	00_00_00	괴롭다	6, 7, 10, 13, 14, 16, 19, 20
괘상하다	[형용사][방언]	VA	00_00_00	괴상하다	6, 13, 14, 19, 20
괜치안다	[형용사][방언]	VA	00_00_00	괜찮다	13, 14, 19
교누다	[동사][방언]	VV	00_00_00	겨누다	14, 19
구내지	[명사][방언]	NNG	01_00_00	아가미	13, 14, 19
구넉	[명사][방언]	NNG	00_00_00	구멍	5, 6, 11, 12, 13, 14, 15, 16, 17, 18, 19
구늘	[명사][방언]	NNG	02_00_00	그늘	13, 14, 15, 19
구데이	[명사][방언]	NNG	02_00_00	구덩이	4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 19, 20
구둘	[명사][방언]	NNG	01_00_00	구들	4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 18, 19, 20
구레쉐미	[명사][방언]	NNG	00_00_00	구레나룻	13, 14, 15, 16, 19
구레시미	[명사][방언]	NNG	00_00_00	구레나룻	13, 14, 19
구루다	[동사][방언]	VV	01_00_00	구르다	7, 12, 13, 14, 15, 16, 18, 19, 20
구루쉐미	[명사][방언]	NNG	00_00_00	구레나룻	13, 14, 19
구막장	[명사][방언]	NNG	00_00_00	부뚜막	13, 14, 19
구먹대이	[명사][방언]	NNG	00_00_00	귀머거리	13, 14, 19
구먹재이	[명사][방언]	NNG	00_00_00	귀머거리	13, 14, 19
구먹쟁이	[명사][방언]	NNG	00_00_00	귀머거리	13, 14, 15, 17, 19
구서기	[명사][방언]	NNG	00_00_00	구석	13, 14, 15, 16, 18, 19, 20
구세기	[명사][방언]	NNG	00_00_00	구석	7, 13, 14, 16, 18, 19
구술뼈	[명사][방언]	NNG	00_00_00	척추뼈	13, 14, 19
