표제어	품사	세종태그	어깨번호	뜻풀이	지역
가겹다	[형용사][방언]	VA	00_00_00	가볍다	6, 7, 13, 14, 19, 20
가구간	[명사][방언]	NNG	00_00_00	외양간	6, 7, 20
가껌	[부사][방언]	MAG	00_00_00	가끔	4, 6, 7, 12, 20
가느다	[형용사][방언]	VA	00_00_00	가늘다	4, 6, 7, 16, 20
가는비	[명사][방언]	NNG	00_00_00	가랑비	5, 6, 8, 9, 11, 13, 14, 15, 16, 17, 18, 20
가다배추	[명사][방언]	NNG	00_00_00	양배추	5, 7, 18, 20
가덜배차	[명사][방언]	NNG	00_00_00	양배추	6, 20
가두배	[명사][방언]	NNG	00_00_00	양배추	14, 15, 16, 20
가둑낭기	[명사][방언]	NNG	00_00_00	졸참나무	15, 16, 18, 20
가둑잎	[명사][방언]	NNG	00_00_00	가랑잎	4, 15, 16, 18, 19, 20
가드나	[명사][방언]	NNG	00_00_00	갓난아이	7, 20
가뜩차다	[형용사][방언]	VA	00_00_00	가뜩하다	6, 7, 20
가랍다	[형용사][방언]	VA	00_00_00	가렵다	6, 8, 9, 10, 13, 15, 16, 18, 20
가래치다	[동사][방언]	VV	00_00_00	가르치다	6, 7, 20
가럽다	[형용사][방언]	VA	00_00_00	가렵다	5, 7, 11, 16, 18, 20
가렁	[부사][방언]	MAG	00_00_00	가령	7, 20
가르매	[명사][방언]	NNG	00_00_00	가르마	4, 6, 7, 8, 9, 11, 12, 15, 18, 20
가름질	[명사][방언]	NNG	00_00_00	갈림길	4, 15, 20
가리매	[명사][방언]	NNG	00_00_00	가르마	5, 6, 7, 8, 9, 11, 15, 18, 20
가리미	[명사][방언]	NNG	00_00_00	가르마	6, 7, 9, 15, 20
가마이	[명사][방언]	NNG	00_00_00	가마니	4, 5, 6, 7, 8, 9, 10, 11, 12, 18, 20
가막	[명사][방언]	NNG	00_00_00	감옥	7, 13, 14, 19, 20
가망이	[명사][방언]	NNG	00_00_00	가마니	4, 6, 7, 20
가매부	[명사][방언]	NNG	00_00_00	들보	15, 16, 18, 20
가매솔	[명사][방언]	NNG	00_00_00	솥솔	13, 14, 15, 16, 18, 19, 20
