표제어	품사	세종태그	어깨번호	뜻풀이	지역
가정노롬	[명사][방언]	NNG	00_00_00	소꿉놀이	21
감발싸개	[명사][방언]	NNG	00_00_00	감발	21
거두매	[명사][방언]	NNG	02_00_00	설거지	21
거슷부레	[명사][방언]	NNG	00_00_00	거짓부리	21
걸빠람	[명사][방언]	NNG	00_00_00	걸음마	21
걸빠람	[감탄사][방언]	IC	00_00_00	걸음마	21
겁디	[명사][방언]	NNG	00_00_00	겁쟁이	21
겁쟤	[명사][방언]	NNG	00_00_00	겁쟁이	21
겅지	[명사][방언]	NNG	00_00_00	건더기	18, 21
고순돼지	[명사][방언]	NNG	00_00_00	고슴도치	21
고순쥐	[명사][방언]	NNG	00_00_00	고슴도치	21
고취쟝	[명사][방언]	NNG	00_00_00	고추장	21
고치쟝	[명사][방언]	NNG	00_00_00	고추장	18, 21
곡셱	[명사][방언]	NNG	00_00_00	곡식	21
곰툴래기	[명사][방언]	NNG	00_00_00	곰팡이	21
곰틀래기	[명사][방언]	NNG	00_00_00	곰팡이	21
공두박질	[명사][방언]	NNG	00_00_00	곤두박질	18, 21
구대소이	[명사][방언]	NNG	00_00_00	구두쇠	21
구더	[명사][방언]	NNG	00_00_00	구덩이	18, 21
구데미	[명사][방언]	NNG	00_00_00	구덩이	21
귀뚤귀	[명사][방언]	NNG	00_00_00	귀뚜라미	21
귀미리	[명사][방언]	NNG	00_00_00	귀리	12, 18, 21
그뭄날	[명사][방언]	NNG	00_00_00	그믐날	4, 5, 6, 7, 10, 18, 21
그밈	[명사][방언]	NNG	00_00_00	그믐	21
기례기	[명사][방언]	NNG	00_00_00	기러기	21
까치조고리	[명사][방언]	NNG	00_00_00	색동저고리	9, 21
깨꼬리	[명사][방언]	NNG	00_00_00	도꼬마리	21
께닙다	[동사][방언]	VV	00_00_00	껴입다	18, 21
꼬이베우리	[명사][방언]	NNG	00_00_00	꿩병아리	21
꼴딱벗개	[명사][방언]	NNG	00_00_00	벌거숭이	21
꽤꼬리	[명사][방언]	NNG	02_00_00	도꼬마리	21
