표제어	품사	세종태그	어깨번호	뜻풀이	지역
가갓방	[명사][방언]	NNG	00_00_00	가겟방	11
가겟방이	[명사][방언]	NNG	00_00_00	가겟방	11
가그매	[명사][방언]	NNG	04_00_00	까마귀	11
가껍다	[형용사][방언]	VA	00_00_00	가깝다	4, 5, 11
가날다	[형용사][방언]	VA	00_00_00	가늘다	11
가날푸다	[형용사][방언]	VA	00_00_00	가냘프다	4, 6, 7, 11, 12
가냘쁘다	[형용사][방언]	VA	00_00_00	가냘프다	11
가느달하다	[형용사][방언]	VA	00_00_00	가느다랗다	11
가느랑비	[명사][방언]	NNG	00_00_00	가랑비	11
가느랭비	[명사][방언]	NNG	00_00_00	가랑비	11
가느스럽다	[형용사][방언]	VA	00_00_00	가느스름하다	11
가는비	[명사][방언]	NNG	00_00_00	가랑비	5, 6, 8, 9, 11, 13, 14, 15, 16, 17, 18, 20
가닥지	[명사][방언]	NNG	03_00_00	됨됨이	11, 12
가둥치다	[동사][방언]	VV	00_00_00	간추리다	11, 12
가라이	[명사][방언]	NNG	00_00_00	가랑이	4, 7, 8, 11, 12
가라치다	[동사][방언]	VV	00_00_00	가리키다	4, 5, 6, 7, 8, 9, 10, 11, 12
가락홀태	[명사][방언]	NNG	00_00_00	벼훑이	8, 9, 11
가랑입새	[명사][방언]	NNG	00_00_00	가랑잎	11
가래때	[명사][방언]	NNG	00_00_00	가래톳	8, 11
가래이	[명사][방언]	NNG	00_00_00	가랑이	4, 5, 6, 7, 8, 9, 10, 11, 12
가래쟁이	[명사][방언]	NNG	00_00_00	가랑이	11
가래호두	[명사][방언]	NNG	00_00_00	가래	11
가랫덕	[명사][방언]	NNG	00_00_00	가래톳	11
가랫덧	[명사][방언]	NNG	00_00_00	가래톳	11
가랫장치	[명사][방언]	NNG	00_00_00	가랫장부	11, 12
가랭비	[명사][방언]	NNG	00_00_00	가랑비	7, 8, 11, 16
가럅다	[형용사][방언]	VA	00_00_00	가렵다	11
가러고치다	[동사][방언]	VV	00_00_00	가로거치다	11
가럽다	[형용사][방언]	VA	00_00_00	가렵다	5, 7, 11, 16, 18, 20
가려웁다	[형용사][방언]	VA	00_00_00	가렵다	11
가루마	[명사][방언]	NNG	00_00_00	가르마	9, 11, 17
가룻비누	[명사][방언]	NNG	00_00_00	가루비누	5, 11
