표제어	품사	세종태그	어깨번호	뜻풀이	지역
가까수로	[부사][방언]	MAG	00_00_00	가까스로	12
가껌	[부사][방언]	MAG	00_00_00	가끔	4, 6, 7, 12, 20
가날푸다	[형용사][방언]	VA	00_00_00	가냘프다	4, 6, 7, 11, 12
가느다란하다	[형용사][방언]	VA	00_00_00	가느다랗다	6, 7, 12
가는딩기	[명사][방언]	NNG	00_00_00	등겨	12
가늘다란하다	[형용사][방언]	VA	00_00_00	가느다랗다	12
가닥지	[명사][방언]	NNG	03_00_00	됨됨이	11, 12
가도토리	[명사][방언]	NNG	00_00_00	상수리	5, 12
가둥치다	[동사][방언]	VV	00_00_00	간추리다	11, 12
가라이	[명사][방언]	NNG	00_00_00	가랑이	4, 7, 8, 11, 12
가라치다	[동사][방언]	VV	00_00_00	가리키다	4, 5, 6, 7, 8, 9, 10, 11, 12
가람배	[명사][방언]	NNG	00_00_00	가르마	12
가래이	[명사][방언]	NNG	00_00_00	가랑이	4, 5, 6, 7, 8, 9, 10, 11, 12
가래추자	[명사][방언]	NNG	00_00_00	가래	6, 7, 9, 12
가랫장치	[명사][방언]	NNG	00_00_00	가랫장부	11, 12
가루치다	[동사][방언]	VV	00_00_00	체질하다	12
가룸마	[명사][방언]	NNG	00_00_00	가르마	12
가르끼다	[동사][방언]	VV	00_00_00	가르치다	12
가르매	[명사][방언]	NNG	00_00_00	가르마	4, 6, 7, 8, 9, 11, 12, 15, 18, 20
가르체다	[동사][방언]	VV	00_00_00	가르치다	12
가름마	[명사][방언]	NNG	00_00_00	가르마	4, 5, 7, 11, 12
가름매	[명사][방언]	NNG	00_00_00	가르마	4, 6, 7, 8, 11, 12
가름배	[명사][방언]	NNG	00_00_00	가르마	4, 7, 11, 12
가림마	[명사][방언]	NNG	00_00_00	가르마	11, 12
가림배	[명사][방언]	NNG	00_00_00	가르마	4, 12
가마솟	[명사][방언]	NNG	00_00_00	가마솥	5, 8, 9, 11, 12
가마솣	[명사][방언]	NNG	00_00_00	가마솥	12
가마이	[명사][방언]	NNG	00_00_00	가마니	4, 5, 6, 7, 8, 9, 10, 11, 12, 18, 20
가마이	[부사][방언]	MAG	00_00_00	가만히	4, 5, 6, 7, 8, 12
가망대이루	[부사][방언]	MAG	00_00_00	가만히	12
가망대이루	[부사][방언]	MAG	02_00_00	몰래	12
가망동으루	[부사][방언]	MAG	00_00_00	가만히	12
가망동으루	[부사][방언]	MAG	02_00_00	몰래	12
가망쩔애	[부사][방언]	MAG	00_00_00	가만히	12
가망쩔애	[부사][방언]	MAG	02_00_00	몰래	12
가매솥	[명사][방언]	NNG	00_00_00	가마솥	4, 6, 7, 8, 9, 11, 12, 13, 14
가매쪽박	[명사][방언]	NNG	00_00_00	가맛바가지	11, 12
가머리	[명사][방언]	NNG	00_00_00	감	11, 12
가무니	[명사][방언]	NNG	00_00_00	가마니	4, 5, 6, 7, 8, 9, 10, 11, 12
가무름	[명사][방언]	NNG	00_00_00	가뭄	6, 8, 11, 12
가무테손구락	[명사][방언]	NNG	00_00_00	가운뎃손가락	12
가믐	[명사][방언]	NNG	00_00_00	가뭄	6, 8, 9, 10, 11, 12
가법다	[형용사][방언]	VA	00_00_00	가볍다	4, 5, 8, 10, 12, 13, 14, 17, 19
가보윷	[명사][방언]	NNG	00_00_00	밤윷	4, 12
가보진데	[명사][방언]	NNG	00_00_00	진드기	12
가봅다	[형용사][방언]	VA	00_00_00	가볍다	8, 12
가부진데	[명사][방언]	NNG	00_00_00	진드기	12
가부진디	[명사][방언]	NNG	00_00_00	진드기	9, 12
가부진지	[명사][방언]	NNG	00_00_00	진드기	12
가붑다	[형용사][방언]	VA	00_00_00	가볍다	4, 8, 9, 10, 11, 12, 13, 14, 19
가빠르다	[형용사][방언]	VA	00_00_00	가파르다	12
가상이	[명사][방언]	NNG	00_00_00	가	4, 6, 7, 8, 9, 11, 12
가상짜리	[명사][방언]	NNG	00_00_00	가장자리	12
가새	[명사][방언]	NNG	01_00_00	가위	5, 6, 7, 8, 9, 11, 12
가새이	[명사][방언]	NNG	00_00_00	가	4, 12
가샛밥	[명사][방언]	NNG	00_00_00	가윗밥	12
가생이	[명사][방언]	NNG	01_00_00	가	6, 11, 12
가스나이	[명사][방언]	NNG	00_00_00	계집아이	4, 5, 6, 7, 8, 9, 11, 12
가시게	[명사][방언]	NNG	00_00_00	가위	4, 12, 20
가시덤풀	[명사][방언]	NNG	00_00_00	가시덤불	8, 12
가시여	[명사][방언]	NNG	01_00_00	두름	12
