표제어	품사	세종태그	어깨번호	뜻풀이	지역
가겹다	[형용사][방언]	VA	00_00_00	가볍다	6, 7, 13, 14, 19, 20
가꾸루	[부사][방언]	MAG	00_00_00	거꾸로	13, 14, 16, 19
가나부	[명사][방언]	NNG	00_00_00	간호부	5, 13, 14, 18, 19
가는비	[명사][방언]	NNG	00_00_00	가랑비	5, 6, 8, 9, 11, 13, 14, 15, 16, 17, 18, 20
가달배	[명사][방언]	NNG	00_00_00	양배추	13, 14, 19
가둑닢	[명사][방언]	NNG	00_00_00	가랑잎	13, 14
가따나	[부사][방언]	MAG	00_00_00	가뜩이나	13, 14, 15, 17
가라치다	[동사][방언]	VV	00_00_00	가르치다	6, 7, 8, 13
가랍다	[형용사][방언]	VA	00_00_00	가렵다	6, 8, 9, 10, 13, 15, 16, 18, 20
가래기	[명사][방언]	NNG	01_00_00	가랑잎	13, 14
가마구	[명사][방언]	NNG	00_00_00	까마귀	4, 6, 8, 9, 10, 13, 14, 15, 18, 19
가마깥	[명사][방언]	NNG	00_00_00	부뚜막	13
가마끼	[명사][방언]	NNG	00_00_00	까마귀	13, 14
가마우디	[명사][방언]	NNG	00_00_00	가마우지	13, 14
가막	[명사][방언]	NNG	00_00_00	감옥	7, 13, 14, 19, 20
가말치	[명사][방언]	NNG	02_00_00	누룽지	13, 14, 19
가매긁이	[명사][방언]	NNG	00_00_00	누룽지	13, 14
가매똥	[명사][방언]	NNG	00_00_00	소댕	13, 14
가매뚜껑	[명사][방언]	NNG	00_00_00	솥뚜껑	4, 13, 14, 15, 16
가매솔	[명사][방언]	NNG	00_00_00	솥솔	13, 14, 15, 16, 18, 19, 20
가매솥	[명사][방언]	NNG	00_00_00	가마솥	4, 6, 7, 8, 9, 11, 12, 13, 14
가법다	[형용사][방언]	VA	00_00_00	가볍다	4, 5, 8, 10, 12, 13, 14, 17, 19
가붑다	[형용사][방언]	VA	00_00_00	가볍다	4, 8, 9, 10, 11, 12, 13, 14, 19
가새다리	[명사][방언]	NNG	00_00_00	가위다리	4, 5, 7, 8, 9, 13, 15, 16, 18, 20
가샤버지	[명사][방언]	NNG	00_00_00	가시아버지	13, 14
가섹장	[명사][방언]	NNG	00_00_00	찬장	13, 14, 19
가셋물	[명사][방언]	NNG	00_00_00	개숫물	13, 14
가쇠	[명사][방언]	NNG	00_00_00	가위	11, 13
가슥장	[명사][방언]	NNG	00_00_00	찬장	13, 14, 19
가승	[명사][방언]	NNG	00_00_00	거스름돈	13, 14, 15, 17
가시그릇	[명사][방언]	NNG	00_00_00	개수통	13, 14
가시아바지	[명사][방언]	NNG	00_00_00	가시아버지	13, 14, 19
가식장	[명사][방언]	NNG	00_00_00	찬장	13, 14, 19
가실카리	[명사][방언]	NNG	00_00_00	가을갈이	4, 7, 13
가싯물	[명사][방언]	NNG	00_00_00	개숫물	13, 14
가싯물그릇	[명사][방언]	NNG	00_00_00	개수통	13, 14
가오마니	[명사][방언]	NNG	00_00_00	가시어머니	13, 14, 19
가온데	[명사][방언]	NNG	00_00_00	가운데	6, 7, 10, 13, 14, 19
가왜	[명사][방언]	NNG	00_00_00	가위	4, 7, 13, 17, 20
가울	[명사][방언]	NNG	00_00_00	가을	4, 5, 10, 11, 13, 17
가웨	[명사][방언]	NNG	00_00_00	가위	7, 12, 13, 17, 20
가이새끼	[명사][방언]	NNG	00_00_00	강아지	5, 13, 14, 19
가장구	[명사][방언]	NNG	01_00_00	가재	13, 14
가전	[명사][방언]	NNG	00_00_00	거스름	13, 14
가지미	[명사][방언]	NNG	00_00_00	가자미	7, 8, 13, 14, 19
가짭다	[형용사][방언]	VA	00_00_00	가깝다	6, 13, 14, 16
가찹다	[형용사][방언]	VA	00_00_00	가깝다	4, 6, 7, 8, 9, 10, 11, 12, 13, 14
가채이	[부사][방언]	MAG	00_00_00	가까이	13
가채이	[명사][방언]	NNG	00_00_00	가까이	13
가티	[부사][방언]	MAG	00_00_00	같이	10, 13, 14, 16, 18, 19
간마르다	[동사][방언]	VV	00_00_00	애타다	13
간지릅다	[형용사][방언]	VA	00_00_00	간지럽다	13, 14
갈개다	[동사][방언]	VV	00_00_00	가래다	13, 14
갈구래이	[명사][방언]	NNG	00_00_00	갈고랑이	13, 14, 15
갈구랭이	[명사][방언]	NNG	00_00_00	갈고랑이	4, 7, 13, 14, 15, 19, 20
갈기	[명사][방언]	NNG	01_00_00	가루	4, 7, 13, 14
갈름길	[명사][방언]	NNG	00_00_00	갈림길	4, 8, 9, 13, 14, 18, 19
갈베	[명사][방언]	NNG	00_00_00	갈비	13, 14
갈비뻬	[명사][방언]	NNG	00_00_00	갈비뼈	4, 6, 8, 9, 12, 13, 14, 18, 19, 20
갈코랭이	[명사][방언]	NNG	00_00_00	갈고랑이	13, 14, 17
갈쿠리	[명사][방언]	NNG	00_00_00	갈고리	8, 13, 15
갈쿠지	[명사][방언]	NNG	01_00_00	갈퀴	13, 14
갉	[명사][방언]	NNG	01_00_00	가을	4, 11, 12, 13, 14
감당개	[명사][방언]	NNG	00_00_00	검둥개	13, 14, 19
감성볼락	[명사][방언]	NNG	00_00_00	볼락	13
감장콩	[명사][방언]	NNG	00_00_00	검정콩	13, 14, 19
감지	[명사][방언]	NNG	01_00_00	고구마	13
갑석하다	[형용사][방언]	VA	00_00_00	갭직하다	13
갑숙하다	[형용사][방언]	VA	00_00_00	갭직하다	13, 17
갑작시리	[부사][방언]	MAG	00_00_00	갑작스레	4, 6, 11, 12, 13, 14
갑재기	[부사][방언]	MAG	00_00_00	갑자기	4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19, 20
갓난아	[명사][방언]	NNG	00_00_00	갓난아이	6, 7, 12, 13, 14, 15
강낭	[명사][방언]	NNG	00_00_00	강냉이	4, 6, 7, 8, 9, 13, 14, 18, 19, 20
강내이	[명사][방언]	NNG	00_00_00	강냉이	4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17
강보리밥	[명사][방언]	NNG	00_00_00	꽁보리밥	13, 14, 18
강애	[명사][방언]	NNG	01_00_00	가위	13, 14
강애짝	[명사][방언]	NNG	00_00_00	가위	13, 14
강에	[명사][방언]	NNG	00_00_00	가위	13, 14, 19
강우	[명사][방언]	NNG	01_00_00	가위	13
강워	[명사][방언]	NNG	00_00_00	가위	13, 14, 19
강웨	[명사][방언]	NNG	00_00_00	가위	13, 14
강쟁변	[명사][방언]	NNG	00_00_00	강변	13
강탱이	[명사][방언]	NNG	00_00_00	이끼	13, 14
갖등거리	[명사][방언]	NNG	00_00_00	털배자	13, 14
개구장	[명사][방언]	NNG	00_00_00	시내	13, 14
개굴물	[명사][방언]	NNG	00_00_00	개울물	13, 14, 19
개나리꼿	[명사][방언]	NNG	01_00_00	나리꽃	4, 5, 8, 9, 11, 12, 13, 14, 15, 17
개나리꼿	[명사][방언]	NNG	02_00_00	백합	4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 17
개니빠디	[명사][방언]	NNG	00_00_00	이빨	13, 14, 16
개따나	[부사][방언]	MAG	00_00_00	가뜩이나	6, 13, 14
개똥벌기	[명사][방언]	NNG	00_00_00	반딧불이	4, 6, 7, 13, 14, 16, 19, 20
개똥이	[명사][방언]	NNG	00_00_00	반딧불이	13, 14
개뜰배기	[명사][방언]	NNG	00_00_00	개똥벌레	13, 14
개띠벌레	[명사][방언]	NNG	00_00_00	개똥벌레	13, 14
개럽다	[형용사][방언]	VA	00_00_00	가렵다	4, 7, 8, 11, 12, 13, 14, 15, 17, 18, 19
개렵다	[형용사][방언]	VA	00_00_00	가렵다	4, 5, 8, 9, 11, 12, 13, 14, 17, 18, 19
개룹다	[형용사][방언]	VA	00_00_00	가렵다	4, 7, 8, 9, 12, 13
개릅다	[형용사][방언]	VA	00_00_00	가렵다	4, 8, 13, 14, 17
개립다	[형용사][방언]	VA	00_00_00	가렵다	4, 11, 13, 14
개미솔	[명사][방언]	NNG	00_00_00	솥솔	13, 14, 19
개바주	[명사][방언]	NNG	00_00_00	바자울	13
개반디	[명사][방언]	NNG	00_00_00	풀반지	13
개오다	[동사][방언]	VV	00_00_00	가져오다	13, 14, 15, 16
개우창	[명사][방언]	NNG	00_00_00	개울	13, 14
개종	[명사][방언]	NNG	01_00_00	망나니	13, 14
개지다	[동사][방언]	VV	00_00_00	가지다	13, 14, 19
개창	[명사][방언]	NNG	01_00_00	개천	13, 14
개체머리	[명사][방언]	NNG	00_00_00	채신머리	13, 14, 19
개체머리없다	[형용사][방언]	VA	00_00_00	채신머리없다	13, 14, 19
개파랍다	[형용사][방언]	VA	00_00_00	가파르다	13, 14, 19
개파롭다	[형용사][방언]	VA	00_00_00	가파르다	13, 14, 19
개파릅다	[형용사][방언]	VA	00_00_00	가파르다	13, 14, 19
개피개	[명사][방언]	NNG	00_00_00	이질	13, 14, 15
갠주럽다	[형용사][방언]	VA	00_00_00	간지럽다	13, 17
갠지럽다	[형용사][방언]	VA	00_00_00	간지럽다	4, 8, 11, 13, 14, 17
갠지롭다	[형용사][방언]	VA	00_00_00	간지럽다	13, 17
갱끼	[명사][방언]	NNG	00_00_00	사발	13, 14
갱사발	[명사][방언]	NNG	00_00_02	사발	13, 14
걈	[명사][방언]	NNG	00_00_00	개암	4, 5, 13, 17, 18
거구다가	[부사][방언]	MAG	00_00_00	게다가	13, 14
거구메	[대명사][방언]	NP	01_00_00	거기	13, 14
거꾸러치다	[동사][방언]	VV	00_00_00	거꾸러뜨리다	13, 14, 19
거너미	[명사][방언]	NNG	00_00_00	해질녘	13, 14
거드러거리다	[동사][방언]	VV	00_00_00	거드럭거리다	13, 14
거뜻하면	[부사][방언]	MAG	00_00_00	걸핏하면	13, 14, 19
거라지	[명사][방언]	NNG	00_00_00	거지	6, 8, 13, 14, 17, 19
거랑뱅이	[명사][방언]	NNG	00_00_00	거지	13, 14, 15, 16, 17
거랑질	[명사][방언]	NNG	00_00_00	동냥질	13
거랑치	[명사][방언]	NNG	01_00_00	거지	13, 14
거래이	[명사][방언]	NNG	00_00_00	거지	6, 7, 9, 12, 13, 14
거래치	[명사][방언]	NNG	01_00_00	거지	13, 14
거럼	[감탄사][방언]	IC	02_00_00	그럼	13, 14
거륵하다	[형용사][방언]	VA	00_00_00	거룩하다	13, 14
거메	[명사][방언]	NNG	02_00_00	거미	13, 17
거메이	[명사][방언]	NNG	00_00_00	그을음	13, 14, 19
거빕다	[형용사][방언]	VA	00_00_00	가볍다	13, 14, 19
거서가니	[대명사][방언]	NP	00_00_00	거시기	13, 14
거스럼	[명사][방언]	NNG	00_00_00	거스름	13, 14, 19
거스럼돈	[명사][방언]	NNG	00_00_00	거스름돈	11, 13, 14, 19
거스레미	[명사][방언]	NNG	00_00_00	거스러미	5, 13, 14, 15, 16, 18
거씨	[부사][방언]	MAG	00_00_00	얼른	13, 14
거왜	[명사][방언]	NNG	00_00_00	솜	13, 14
거이	[명사][방언]	NNG	01_00_00	게	4, 5, 11, 13, 14, 15, 17
거젓부리	[명사][방언]	NNG	00_00_00	거짓부리	13, 14, 15, 16, 17
거죽눈	[명사][방언]	NNG	00_00_00	거적눈	4, 13
거즛말쟁이	[명사][방언]	NNG	00_00_00	거짓말쟁이	13, 14
거짓부리쟁이	[명사][방언]	NNG	00_00_00	거짓말쟁이	13, 14
거짓부리제이	[명사][방언]	NNG	00_00_00	거짓말쟁이	13, 14, 16
거칫하문	[부사][방언]	MAG	00_00_00	걸핏하면	4, 13, 14
거텃허면	[부사][방언]	MAG	00_00_00	걸핏하면	13, 14, 19
거특허문	[부사][방언]	MAG	00_00_00	걸핏하면	13, 14
거틋허문	[부사][방언]	MAG	00_00_00	걸핏하면	13, 14
건	[부사][방언]	MAG	01_00_00	거의	13, 14
건네	[명사][방언]	NNG	02_00_00	그네	8, 9, 13, 14, 17, 19
