표제어	품사	세종태그	어깨번호	뜻풀이	지역
가갑다	[형용사][방언]	VA	00_00_00	가볍다	14, 15
가겹다	[형용사][방언]	VA	00_00_00	가볍다	6, 7, 13, 14, 19, 20
가굽다	[형용사][방언]	VA	00_00_00	가볍다	4, 14, 15, 16
가까스루	[부사][방언]	MAG	00_00_00	가까스로	14
가깜이	[명사][방언]	NNG	00_00_00	가까이	14
가깜이	[부사][방언]	MAG	00_00_00	가까이	14
가깜하다	[형용사][방언]	VA	00_00_00	가깝다	14
가꾸루	[부사][방언]	MAG	00_00_00	거꾸로	13, 14, 16, 19
가나부	[명사][방언]	NNG	00_00_00	간호부	5, 13, 14, 18, 19
가는비	[명사][방언]	NNG	00_00_00	가랑비	5, 6, 8, 9, 11, 13, 14, 15, 16, 17, 18, 20
가다리	[명사][방언]	NNG	00_00_00	가닥	4, 14
가닥하다	[형용사][방언]	VA	00_00_00	가득하다	14
가달배	[명사][방언]	NNG	00_00_00	양배추	13, 14, 19
가댱	[부사][방언]	MAG	00_00_00	가장	14
가덩	[명사][방언]	NNG	00_00_00	거스름돈	14
가도배	[명사][방언]	NNG	00_00_00	양배추	14
가두기	[명사][방언]	NNG	01_00_00	가랑잎	4, 14, 15, 16
가두라들다	[동사][방언]	VV	00_00_00	오그라들다	14
가두배	[명사][방언]	NNG	00_00_00	양배추	14, 15, 16, 20
가둑닢	[명사][방언]	NNG	00_00_00	가랑잎	13, 14
가드근하다	[형용사][방언]	VA	00_00_00	가든하다	14
가등	[명사][방언]	NNG	00_00_00	거스름돈	14
가디기	[명사][방언]	NNG	01_00_01	극젱이	14
가디기	[명사][방언]	NNG	01_00_02	쟁기	14
가따가나	[부사][방언]	MAG	00_00_00	가뜩이나	14, 15
가따나	[부사][방언]	MAG	00_00_00	가뜩이나	13, 14, 15, 17
가라소나무	[명사][방언]	NNG	00_00_00	느티나무	14
가라지	[명사][방언]	NNG	00_00_00	가래톳	14
가라춤	[명사][방언]	NNG	00_00_00	가래침	14
가랑	[명사][방언]	NNG	00_00_00	겉가량	14
가래군두	[명사][방언]	NNG	00_00_00	가랫장부	14
가래기	[명사][방언]	NNG	01_00_00	가랑잎	13, 14
가래꼬치	[명사][방언]	NNG	00_00_00	가락꼬치	14
가래당구	[명사][방언]	NNG	00_00_00	가랫장부	14
가래지	[명사][방언]	NNG	02_00_00	가라지	14, 16
가랫당부	[명사][방언]	NNG	00_00_00	가랫장부	14
가루맡다	[동사][방언]	VV	00_00_00	가로맡다	14
가루보기	[명사][방언]	NNG	00_00_00	사팔뜨기	14
가르보기	[명사][방언]	NNG	00_00_00	사팔뜨기	14
가마구	[명사][방언]	NNG	00_00_00	까마귀	4, 6, 8, 9, 10, 13, 14, 15, 18, 19
가마끼	[명사][방언]	NNG	00_00_00	까마귀	13, 14
가마니뙈기	[명사][방언]	NNG	00_00_00	가마니때기	14
가마뚜벙	[명사][방언]	NNG	00_00_00	솥뚜껑	4, 14
가마수세기	[명사][방언]	NNG	00_00_00	솥솔	14, 19
가마우디	[명사][방언]	NNG	00_00_00	가마우지	13, 14
가막	[명사][방언]	NNG	00_00_00	감옥	7, 13, 14, 19, 20
가막두거리	[명사][방언]	NNG	00_00_00	까막딱따구리	14
가말치	[명사][방언]	NNG	02_00_00	누룽지	13, 14, 19
가말티	[명사][방언]	NNG	00_00_00	누룽지	14, 19
가매긁이	[명사][방언]	NNG	00_00_00	누룽지	13, 14
가매떠깡이	[명사][방언]	NNG	00_00_00	솥뚜껑	14
가매떠꿍	[명사][방언]	NNG	00_00_00	솥뚜껑	14, 17
가매똥	[명사][방언]	NNG	00_00_00	소댕	13, 14
가매뚜껑	[명사][방언]	NNG	00_00_00	솥뚜껑	4, 13, 14, 15, 16
가매뜽	[명사][방언]	NNG	00_00_00	솥뚜껑	14
가매솔	[명사][방언]	NNG	00_00_00	솥솔	13, 14, 15, 16, 18, 19, 20
가매솥	[명사][방언]	NNG	00_00_00	가마솥	4, 6, 7, 8, 9, 11, 12, 13, 14
가매잡다	[동사][방언]	VV	00_00_00	놀리다	14
가매훌티	[명사][방언]	NNG	00_00_00	누룽지	14
가무수룸하다	[형용사][방언]	VA	00_00_00	가무스름하다	14
가물티	[명사][방언]	NNG	00_00_00	가물치	14
가바시	[명사][방언]	NNG	00_00_00	가시버시	14, 15
가법다	[형용사][방언]	VA	00_00_00	가볍다	4, 5, 8, 10, 12, 13, 14, 17, 19
가붑다	[형용사][방언]	VA	00_00_00	가볍다	4, 8, 9, 10, 11, 12, 13, 14, 19
가빕다	[형용사][방언]	VA	00_00_00	가볍다	14, 17
가샤버지	[명사][방언]	NNG	00_00_00	가시아버지	13, 14
가섹장	[명사][방언]	NNG	00_00_00	찬장	13, 14, 19
가셋물	[명사][방언]	NNG	00_00_00	개숫물	13, 14
가소마니	[명사][방언]	NNG	00_00_00	장모	14
가쇼마니	[명사][방언]	NNG	00_00_00	가시어머니	14, 19
가스아바니	[명사][방언]	NNG	00_00_00	가시아버지	14, 19
가스오마니	[명사][방언]	NNG	00_00_00	가시어머니	14, 19
가슥장	[명사][방언]	NNG	00_00_00	찬장	13, 14, 19
가승	[명사][방언]	NNG	00_00_00	거스름돈	13, 14, 15, 17
가시그릇	[명사][방언]	NNG	00_00_00	개수통	13, 14
가시아바니	[명사][방언]	NNG	00_00_00	가시아버지	14, 16, 19
가시아바지	[명사][방언]	NNG	00_00_00	가시아버지	13, 14, 19
가시애비	[명사][방언]	NNG	00_00_00	가시아비	14, 15, 16, 18
가시에미	[명사][방언]	NNG	00_00_00	가시어미	14
가시오마니	[명사][방언]	NNG	00_00_00	가시어머니	14, 19
가시통	[명사][방언]	NNG	00_00_00	개수통	14
가식장	[명사][방언]	NNG	00_00_00	찬장	13, 14, 19
가심패기	[명사][방언]	NNG	00_00_00	가슴패기	4, 14
가싯물	[명사][방언]	NNG	00_00_00	개숫물	13, 14
가싯물그릇	[명사][방언]	NNG	00_00_00	개수통	13, 14
가에	[명사][방언]	NNG	00_00_00	가위	12, 14
가오마니	[명사][방언]	NNG	00_00_00	가시어머니	13, 14, 19
가온데	[명사][방언]	NNG	00_00_00	가운데	6, 7, 10, 13, 14, 19
가이새끼	[명사][방언]	NNG	00_00_00	강아지	5, 13, 14, 19
가작다	[형용사][방언]	VA	00_00_00	가깝다	14
가장구	[명사][방언]	NNG	01_00_00	가재	13, 14
가전	[명사][방언]	NNG	00_00_00	거스름	13, 14
가제미	[명사][방언]	NNG	00_00_00	가자미	4, 10, 14, 19
가즈란이	[부사][방언]	MAG	00_00_00	가지런히	14
가즈란하다	[형용사][방언]	VA	00_00_00	가지런하다	14
가지미	[명사][방언]	NNG	00_00_00	가자미	7, 8, 13, 14, 19
가지미	[명사][방언]	NNG	00_00_00	개짐	14
가짭다	[형용사][방언]	VA	00_00_00	가깝다	6, 13, 14, 16
가째	[명사][방언]	NNG	00_00_00	가짜	4, 14
가찹다	[형용사][방언]	VA	00_00_00	가깝다	4, 6, 7, 8, 9, 10, 11, 12, 13, 14
가탄	[명사][방언]	NNG	01_00_00	까닭	14
가티	[부사][방언]	MAG	00_00_00	같이	10, 13, 14, 16, 18, 19
가풀	[명사][방언]	NNG	00_00_00	까풀	14
가피기	[명사][방언]	NNG	00_00_00	이질	14
가핌증	[명사][방언]	NNG	00_00_00	이질	14
각닥데미	[명사][방언]	NNG	00_00_00	돌무더기	14
각쟁이	[명사][방언]	NNG	00_00_02	쇠스랑	14
간나	[명사][방언]	NNG	00_00_00	계집아이	14, 15, 16
간대루	[부사][방언]	MAG	00_00_00	간대로	14
간산	[명사][방언]	NNG	01_00_00	칸	14
간즈럼	[명사][방언]	NNG	00_00_00	간지럼	14, 15
간즈럽다	[형용사][방언]	VA	00_00_00	간지럽다	14, 15, 16
간지끼리다	[동사][방언]	VV	00_00_00	간질이다	14
간지릅다	[형용사][방언]	VA	00_00_00	간지럽다	13, 14
갈개다	[동사][방언]	VV	00_00_00	가래다	13, 14
갈게니	[명사][방언]	NNG	00_00_00	갈겨니	14
갈겟	[명사][방언]	NNG	00_00_00	외	14
갈구래이	[명사][방언]	NNG	00_00_00	갈고랑이	13, 14, 15
갈구랭이	[명사][방언]	NNG	00_00_00	갈고랑이	4, 7, 13, 14, 15, 19, 20
갈기	[명사][방언]	NNG	01_00_00	가루	4, 7, 13, 14
갈기다	[동사][방언]	VV	01_00_00	가리다	14
갈레비	[명사][방언]	NNG	00_00_00	냄비	14
갈름길	[명사][방언]	NNG	00_00_00	갈림길	4, 8, 9, 13, 14, 18, 19
갈매지	[명사][방언]	NNG	00_00_00	골마지	14
갈몽대기	[명사][방언]	NNG	00_00_00	갈삿갓	14
갈베	[명사][방언]	NNG	00_00_00	갈비	13, 14
갈비뻬	[명사][방언]	NNG	00_00_00	갈비뼈	4, 6, 8, 9, 12, 13, 14, 18, 19, 20
갈카리	[명사][방언]	NNG	00_00_00	가을갈이	4, 14
갈코랭이	[명사][방언]	NNG	00_00_00	갈고랑이	13, 14, 17
갈쿠랭이	[명사][방언]	NNG	00_00_00	갈퀴	14
갈쿠쟁	[명사][방언]	NNG	00_00_00	갈고리	14
갈쿠쟁이	[명사][방언]	NNG	00_00_00	갈고랑이	14
갈쿠쟁이	[명사][방언]	NNG	00_00_00	갈퀴	14
갈쿠지	[명사][방언]	NNG	01_00_00	갈퀴	13, 14
갈통이	[명사][방언]	NNG	00_00_00	밀어	14
갉	[명사][방언]	NNG	01_00_00	가루	14
갉	[명사][방언]	NNG	01_00_00	가을	4, 11, 12, 13, 14
감감하다	[형용사][방언]	VA	02_00_00	심심하다	14
감당개	[명사][방언]	NNG	00_00_00	검둥개	13, 14, 19
감장콩	[명사][방언]	NNG	00_00_00	검정콩	13, 14, 19
감재	[명사][방언]	NNG	01_00_00	감자	4, 8, 14, 16
감티개	[명사][방언]	NNG	00_00_00	감발	14
감티개질	[명사][방언]	NNG	00_00_00	바느질	14
갑북	[부사][방언]	MAG	01_00_00	가뜩	14
갑북하다	[형용사][방언]	VA	00_00_00	가뿐하다	14
갑작시리	[부사][방언]	MAG	00_00_00	갑작스레	4, 6, 11, 12, 13, 14
갑재기	[부사][방언]	MAG	00_00_00	갑자기	4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 18, 19, 20
갓난아	[명사][방언]	NNG	00_00_00	갓난아이	6, 7, 12, 13, 14, 15
갓언나	[명사][방언]	NNG	00_00_00	갓난아이	14, 19
갓얼음	[명사][방언]	NNG	00_00_00	살얼음	14
강낭	[명사][방언]	NNG	00_00_00	강냉이	4, 6, 7, 8, 9, 13, 14, 18, 19, 20
강낭쐬기	[명사][방언]	NNG	00_00_00	오사리	14
강낭오사리	[명사][방언]	NNG	00_00_00	오사리	14
강내이	[명사][방언]	NNG	00_00_00	강냉이	4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17
강능띠	[명사][방언]	NNG	00_00_00	강냉이	14
강능띱	[명사][방언]	NNG	00_00_00	강냉이	14
강능밤	[명사][방언]	NNG	00_00_00	강냉이	14
강능서우래기	[명사][방언]	NNG	00_00_00	옥수수수염	14
강능쇠기	[명사][방언]	NNG	00_00_00	오사리	14
강능써울	[명사][방언]	NNG	00_00_00	옥수수	14
강능오사리	[명사][방언]	NNG	00_00_00	오사리	14
강달가니	[명사][방언]	NNG	00_00_00	냇둑	14
강반	[명사][방언]	NNG	01_00_00	산자밥풀	14
강보리밥	[명사][방언]	NNG	00_00_00	꽁보리밥	13, 14, 18
강아	[명사][방언]	NNG	00_00_00	가위	14
강애	[명사][방언]	NNG	01_00_00	가위	13, 14
강애짝	[명사][방언]	NNG	00_00_00	가위	13, 14
강에	[명사][방언]	NNG	00_00_00	가위	13, 14, 19
강워	[명사][방언]	NNG	00_00_00	가위	13, 14, 19
강웨	[명사][방언]	NNG	00_00_00	가위	13, 14
강탱이	[명사][방언]	NNG	00_00_00	이끼	13, 14
강판	[명사][방언]	NNG	01_00_00	얼음판	14, 15, 16
갖등거리	[명사][방언]	NNG	00_00_00	털배자	13, 14
개구넝받이	[명사][방언]	NNG	00_00_00	개구멍받이	14
개구마리	[명사][방언]	NNG	00_00_00	청개구리	14
개구장	[명사][방언]	NNG	00_00_00	시내	13, 14
개굴물	[명사][방언]	NNG	00_00_00	개울물	13, 14, 19
개궁창	[명사][방언]	NNG	00_00_01	개골창	14
개그마리	[명사][방언]	NNG	00_00_00	개구리	14
개나리꼿	[명사][방언]	NNG	01_00_00	나리꽃	4, 5, 8, 9, 11, 12, 13, 14, 15, 17
개나리꼿	[명사][방언]	NNG	02_00_00	백합	4, 5, 7, 8, 9, 11, 12, 13, 14, 15, 17
개니빠디	[명사][방언]	NNG	00_00_00	이빨	13, 14, 16
개득하다	[형용사][방언]	VA	00_00_00	가득하다	14
개따나	[부사][방언]	MAG	00_00_00	가뜩이나	6, 13, 14
개똘벌레	[명사][방언]	NNG	00_00_00	개똥벌레	14
개똥버레	[명사][방언]	NNG	00_00_00	반딧불이	14
개똥벌거지	[명사][방언]	NNG	01_00_00	반딧불이	4, 6, 7, 8, 9, 12, 14, 16, 18, 20
개똥벌기	[명사][방언]	NNG	00_00_00	반딧불이	4, 6, 7, 13, 14, 16, 19, 20
개똥이	[명사][방언]	NNG	00_00_00	반딧불이	13, 14
개똥차무	[명사][방언]	NNG	00_00_00	개똥참외	14
개뚭벌기	[명사][방언]	NNG	00_00_00	반딧불이	14
개뜰배기	[명사][방언]	NNG	00_00_00	개똥벌레	13, 14
개뜰벌기	[명사][방언]	NNG	00_00_00	반딧불이	14
개띠벌레	[명사][방언]	NNG	00_00_00	개똥벌레	13, 14
개띱벌기	[명사][방언]	NNG	00_00_00	개똥벌레	14
개럽다	[형용사][방언]	VA	00_00_00	가렵다	4, 7, 8, 11, 12, 13, 14, 15, 17, 18, 19
개렵다	[형용사][방언]	VA	00_00_00	가렵다	4, 5, 8, 9, 11, 12, 13, 14, 17, 18, 19
개롭다	[형용사][방언]	VA	00_00_00	가렵다	4, 6, 7, 8, 9, 12, 14, 15, 19
개릅다	[형용사][방언]	VA	00_00_00	가렵다	4, 8, 13, 14, 17
개립다	[형용사][방언]	VA	00_00_00	가렵다	4, 11, 13, 14
개미솔	[명사][방언]	NNG	00_00_00	솥솔	13, 14, 19
