표준어	품사	세종태그	어깨번호	강원	경기	경남	경북	전남	전북	충남	충북	제주	평남	평북	함남	함북	황해	중국 길림성	중국 요령성	중국 흑룡강성	중앙아시아
가	[명사][방언]	NNG	00_00_00	가상이, 가새이	 	가상이, 가싱이, 끈티, 석드리	가상이, 가서리	가상이, 가테	가상이, 가테, 가티	가상이	가상이, 가새이	가헤, 갓내, 갓디, 그티	 	 	 	 	 	 	 	 	 
가	[명사][방언]	NNG	01_00_00	갓, 갖	 	가새, 가생이, 갓	가새	가양, 갓	 	가생이, 갓	가생이, 갓	에염	 	 	 	 	 	 	 	 	 
가게	[명사][방언]	NNG	00_00_00	 	 	 	 	가걔	하꼬방	송방, 즌빵	과게	 	 	자굿방, 제잣방	 	 	 	 	 	 	 
가겟방	[명사][방언]	NNG	00_00_00	가겟바	 	 	가것방	 	 	가갓방, 가겟방이	 	 	 	 	 	 	 	 	 	 	 
가겟집	[명사][방언]	NNG	00_00_00	송방집	 	 	 	 	 	 	과겟집, 송반집	 	 	 	 	 	 	 	 	 	 
가격	[명사][방언]	NNG	00_00_00	 	 	가겍	 	 	 	 	 	까격, 깨격	 	 	 	 	 	 	 	 	 
가관	[명사][방언]	NNG	00_00_00	과관	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가구점	[명사][방언]	NNG	00_00_00	농방, 농방점	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가까스로	[부사][방언]	MAG	00_00_00	 	가까시	 	 	가가시, 가까시로	 	 	가까수로	 	 	가까스루	 	 	개까스로, 거꺼스로	 	 	 	 
가까이	[명사][방언]	NNG	00_00_00	가차이, 가차이	 	가작히, 가잡기, 가잡기, 가죽이, 가죽이, 가줍기, 가줍기, 가차이, 가차이, 가찹기, 가찹기, 가챕이, 가챕이	가작히	 	 	 	 	족것디, 가차이, 가차이, 저껏디, 저껏드레, 저껏드레	가채이, 가채이	가깜이, 가깜이, 거꺼이, 거꺼이	가채, 가채비, 가깨, 가깨	가채비, 가찹이, 가찹이	 	 	 	 	 
가까이하다	[동사][방언]	VV	00_00_00	가차이하다	 	 	 	뽀작뽀작허다	 	 	 	 	 	 	 	 	 	 	 	 	 
가깝다	[형용사][방언]	VA	00_00_00	가찹다, 가껍다, 가첩다, 개직다, 개찹다, 개칩다, 게깝다, 게찹다	가껍다, 가꼽다, 가첩다, 가춥다	가접다, 가죽다, 가찹다, 개작다, 가익다, 가잡다, 가적다, 가죽하다, 가줍다, 가집다, 가짭다, 가착다, 가쳅다, 개깹다, 개끕다, 개적다, 개접다, 개죽다, 개직다	가찹다, 개작다, 가적다, 가첩다, 가칙다, 개깝다, 개꿉다, 개직다, 개찹다, 개칩다	가찹다, 가끕다, 가삽다, 가차웁다, 가참허다, 개깝다, 개접다, 개죽허다, 개죽다, 개줍다, 개직다, 개찹다, 개첩다, 깨접다, 나깝다	가찹다, 가착다	가찹다, 가껍다, 가차웁다, 가착다, 가첩다	가찹다, 가차웁다, 개줍다, 개찹다, 개춥다, 게찹다	가찹다, 가차웁다, 바디다	가찹다, 가짭다	가깜하다, 가작다, 가찹다, 가짭다, 거껍다	개깝다	가짭다	까찹다	 	 	 	 
가깝디가깝다	[형용사][방언]	VA	00_00_00	가꿉데가꿉다, 가찹데가찹다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가끔	[부사][방언]	MAG	00_00_00	가껌	뜸뜸이	혹가다, 가껌, 답대비, 댑대비, 이땀가다가	가껌, 가꼼, 어찌다가	이따가믄, 이따그믄	 	 	가껌	 	 	 	뜸뜸이	 	 	 	 	가껌	 
가끔가끔	[부사][방언]	MAG	00_00_00	가꿈가꿈	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가끔가다	[부사][방언]	MAG	00_00_00	가꿈가더	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가끔가다가	[부사][방언]	MAG	00_00_00	가꿈가더가, 가꿈가더거, 가꿈가드거	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
가난뱅이	[명사][방언]	NNG	00_00_00	가난배이, 가난재이	 	 	 	가난배기	가난배기	 	 	가난방이	 	 	 	 	 	 	 	 	 
가난하다	[형용사][방언]	VA	00_00_00	 	 	고곱하다, 기찹다	기찹다	가늘허다, 구참시럽다	 	구찬하다	 	서난허다	 	 	 	 	 	 	 	 	 
가납사니	[명사][방언]	NNG	00_00_00	 	 	 	 	가짠내	 	 	 	 	 	 	 	 	 	 	 	 	 
가냘프다	[형용사][방언]	VA	00_00_00	가날푸다, 갸날프다	 	가날푸다	가날푸다, 가냘푸다, 가널푸다, 가널프다, 가얄푸다	가날프다	 	가날푸다, 가냘쁘다, 개냘프다, 갸날프다	가날푸다, 갸날푸다	 	 	 	가야비다	 	 	 	 	 	 
