표준어	품사	세종태그	어깨번호	강원	경기	경남	경북	전남	전북	충남	충북	제주	평남	평북	함남	함북	황해	중국 길림성	중국 요령성	중국 흑룡강성	중앙아시아	뜻풀이
가	[명사][방언]	NNG	00_00_00	가상이, 가새이	 	가상이, 가싱이, 끈티, 석드리	가상이, 가서리	가상이, 가테	가상이, 가테, 가티	가상이	가상이, 가새이	가헤, 갓내, 갓디, 그티	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가	[명사][방언]	NNG	01_00_00	갓, 갖	 	가새, 가생이, 갓	가새	가양, 갓	 	가생이, 갓	가생이, 갓	에염	 	 	 	 	 	 	 	 	 	경계에 가까운 바깥쪽 부분.
가게	[명사][방언]	NNG	00_00_00	 	 	 	 	가걔	하꼬방	송방, 즌빵	과게	 	 	자굿방, 제잣방	 	 	 	 	 	 	 	작은 규모로 물건을 파는 집.
가겟방	[명사][방언]	NNG	00_00_00	가겟바	 	 	가것방	 	 	가갓방, 가겟방이	 	 	 	 	 	 	 	 	 	 	 	자그마하게 가게로 차려 쓰는 방.
가겟집	[명사][방언]	NNG	00_00_00	송방집	 	 	 	 	 	 	과겟집, 송반집	 	 	 	 	 	 	 	 	 	 	가게를 벌이고 장사를 하는 집.
가격	[명사][방언]	NNG	00_00_00	 	 	가겍	 	 	 	 	 	까격, 깨격	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가관	[명사][방언]	NNG	00_00_00	과관	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	미존재 뜻풀이
가구점	[명사][방언]	NNG	00_00_00	농방, 농방점	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	가구를 파는 가게.
가까스로	[부사][방언]	MAG	00_00_00	 	가까시	 	 	가가시, 가까시로	 	 	가까수로	 	 	가까스루	 	 	개까스로, 거꺼스로	 	 	 	 	애를 써서 간신히.
가까이	[명사][방언]	NNG	00_00_00	가차이, 가차이	 	가작히, 가잡기, 가잡기, 가죽이, 가죽이, 가줍기, 가줍기, 가차이, 가차이, 가찹기, 가찹기, 가챕이, 가챕이	가작히	 	 	 	 	족것디, 가차이, 가차이, 저껏디, 저껏드레, 저껏드레	가채이, 가채이	가깜이, 가깜이, 거꺼이, 거꺼이	가채, 가채비, 가깨, 가깨	가채비, 가찹이, 가찹이	 	 	 	 	 	가까운 곳.
가까이하다	[동사][방언]	VV	00_00_00	가차이하다	 	 	 	뽀작뽀작허다	 	 	 	 	 	 	 	 	 	 	 	 	 	사람과 사람의 사이가 친밀한 상태로.
가깝다	[형용사][방언]	VA	00_00_00	가찹다, 가껍다, 가첩다, 개직다, 개찹다, 개칩다, 게깝다, 게찹다	가껍다, 가꼽다, 가첩다, 가춥다	가접다, 가죽다, 가찹다, 개작다, 가익다, 가잡다, 가적다, 가죽하다, 가줍다, 가집다, 가짭다, 가착다, 가쳅다, 개깹다, 개끕다, 개적다, 개접다, 개죽다, 개직다	가찹다, 개작다, 가적다, 가첩다, 가칙다, 개깝다, 개꿉다, 개직다, 개찹다, 개칩다	가찹다, 가끕다, 가삽다, 가차웁다, 가참허다, 개깝다, 개접다, 개죽허다, 개죽다, 개줍다, 개직다, 개찹다, 개첩다, 깨접다, 나깝다	가찹다, 가착다	가찹다, 가껍다, 가차웁다, 가착다, 가첩다	가찹다, 가차웁다, 개줍다, 개찹다, 개춥다, 게찹다	가찹다, 가차웁다, 바디다	가찹다, 가짭다	가깜하다, 가작다, 가찹다, 가짭다, 거껍다	개깝다	가짭다	까찹다	 	 	 	 	어느 한 곳에서 다른 곳까지의 거리가 짧다.
가깝디가깝다	[형용사][방언]	VA	00_00_00	가꿉데가꿉다, 가찹데가찹다	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	매우 가깝다.
가끔	[부사][방언]	MAG	00_00_00	가껌	뜸뜸이	혹가다, 가껌, 답대비, 댑대비, 이땀가다가	가껌, 가꼼, 어찌다가	이따가믄, 이따그믄	 	 	가껌	 	 	 	뜸뜸이	 	 	 	 	가껌	 	시간적, 공간적 간격이 얼마쯤씩 뜨게.
가끔가끔	[부사][방언]	MAG	00_00_00	가꿈가꿈	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	이따금씩 가끔. 또는 여러 번 가끔.
가끔가다	[부사][방언]	MAG	00_00_00	가꿈가더	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	가끔 어쩌다가.
가끔가다가	[부사][방언]	MAG	00_00_00	가꿈가더가, 가꿈가더거, 가꿈가드거	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	가끔 어쩌다가.
가난뱅이	[명사][방언]	NNG	00_00_00	가난배이, 가난재이	 	 	 	가난배기	가난배기	 	 	가난방이	 	 	 	 	 	 	 	 	 	가난한 사람을 낮잡아 이르는 말.
가난하다	[형용사][방언]	VA	00_00_00	 	 	고곱하다, 기찹다	기찹다	가늘허다, 구참시럽다	 	구찬하다	 	서난허다	 	 	 	 	 	 	 	 	 	살림살이가 넉넉하지 못하고 쪼들림. 또는 그런 상태.
가납사니	[명사][방언]	NNG	00_00_00	 	 	 	 	가짠내	 	 	 	 	 	 	 	 	 	 	 	 	 	쓸데없는 말을 지껄이기 좋아하는 수다스러운 사람.
가냘프다	[형용사][방언]	VA	00_00_00	가날푸다, 갸날프다	 	가날푸다	가날푸다, 가냘푸다, 가널푸다, 가널프다, 가얄푸다	가날프다	 	가날푸다, 가냘쁘다, 개냘프다, 갸날프다	가날푸다, 갸날푸다	 	 	 	가야비다	 	 	 	 	 	 	몸이나 팔다리 따위가 몹시 가늘고 연약하다.
가느다랗다	[형용사][방언]	VA	00_00_00	가느다하다, 가느다라하다	 	가느다라다, 가느다란하다, 가느다람하다, 가느다런하다, 가느렇다	가느다라다, 가느다란하다	 	 	가느달하다	가느다란하다, 가늘다란하다	가노롬하다, 가노롱하다, 가노수룽하다, 잠지름하다	 	 	 	 	 	 	 	 	 	아주 가늘다.
가느스름하다	[형용사][방언]	VA	00_00_00	가느시룸하다	 	가느다름하다, 가느소롬하다, 가느수럼하다, 거너수룸하다	간소롬하다, 가느수룸하다	가노롬허다, 가느소롬허다, 가느소름허다, 가느스럼하다, 가느스롬허다, 간스럼하다, 간스롬하다, 간스름하다, 간시럼하다, 간시롬하다, 간시름하다, 갠소롬허다	가노롬허다, 가느소롬허다, 가느소름허다, 가느스럼하다, 가느스롬허다, 가르스름하다, 갠소롬허다	가느스럽다	 	가노롱하다, 가노소롱하다, 가느수룽하다, 가느스롱하다, 간소롱하다	 	 	 	 	 	 	 	 	 	조금 가늘다.
가느스름히	[부사][방언]	MAG	00_00_00	가느시룸히	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	조금 가늘다.
