표제어	품사	세종태그	어깨번호	뜻풀이	지역
가갑다	[형용사][방언]	VA	00_00_00	가볍다	14, 15
가갭다	[형용사][방언]	VA	00_00_00	가볍다	4, 15, 16, 18
가겁다	[형용사][방언]	VA	00_00_00	가볍다	4, 15
가겝다	[형용사][방언]	VA	00_00_00	가볍다	15
가굽다	[형용사][방언]	VA	00_00_00	가볍다	4, 14, 15, 16
가깨	[명사][방언]	NNG	00_00_00	가까이	15
가깨	[부사][방언]	MAG	00_00_00	가까이	15
가께	[명사][방언]	NNG	01_00_00	근방	15
가꼴막	[명사][방언]	NNG	00_00_00	언덕바지	15
가꿈	[부사][방언]	MAG	00_00_00	어서	15
가냥기슭	[명사][방언]	NNG	00_00_00	처마	15
가냥지슭	[명사][방언]	NNG	00_00_00	처마	15
가는비	[명사][방언]	NNG	00_00_00	가랑비	5, 6, 8, 9, 11, 13, 14, 15, 16, 17, 18, 20
가다리	[명사][방언]	NNG	01_00_00	가랑이	15, 16
가달무끼	[명사][방언]	NNG	00_00_00	가랑무	15
가달배이무꾸	[명사][방언]	NNG	00_00_00	가랑무	4, 15
가달배이무끼	[명사][방언]	NNG	00_00_00	가랑무	15
가달뱅이무끼	[명사][방언]	NNG	00_00_00	가랑무	15
가당챊다	[형용사][방언]	VA	00_00_00	가당찮다	15
가대기판	[명사][방언]	NNG	00_00_00	노동판	15
가두기	[명사][방언]	NNG	01_00_00	가랑잎	4, 14, 15, 16
가두나무	[명사][방언]	NNG	00_00_00	떡갈나무	15
가두닢	[명사][방언]	NNG	00_00_00	가랑잎	15
가두배	[명사][방언]	NNG	00_00_00	양배추	14, 15, 16, 20
가두배채	[명사][방언]	NNG	00_00_00	양배추	15
가둑낭기	[명사][방언]	NNG	00_00_00	졸참나무	15, 16, 18, 20
가둑잎	[명사][방언]	NNG	00_00_00	가랑잎	4, 15, 16, 18, 19, 20
가따가나	[부사][방언]	MAG	00_00_00	가뜩이나	14, 15
가따나	[부사][방언]	MAG	00_00_00	가뜩이나	13, 14, 15, 17
가락날	[명사][방언]	NNG	00_00_00	보습	15
가람나무	[명사][방언]	NNG	00_00_00	떡갈나무	15, 16
가랍다	[형용사][방언]	VA	00_00_00	가렵다	6, 8, 9, 10, 13, 15, 16, 18, 20
가래낀	[명사][방언]	NNG	00_00_00	가랫줄	15
가랭	[명사][방언]	NNG	00_00_00	가량	15
가루비치다	[동사][방언]	VV	00_00_00	훼방하다	15
가루장	[명사][방언]	NNG	00_00_00	고추장	15
가르매	[명사][방언]	NNG	00_00_00	가르마	4, 6, 7, 8, 9, 11, 12, 15, 18, 20
가르매기	[명사][방언]	NNG	00_00_00	갈매기	15
가르보다	[동사][방언]	VV	00_00_00	흘겨보다	15, 16
가름질	[명사][방언]	NNG	00_00_00	갈림길	4, 15, 20
가리금분	[명사][방언]	NNG	00_00_00	까닭	15
가리매	[명사][방언]	NNG	00_00_00	가르마	5, 6, 7, 8, 9, 11, 15, 18, 20
가리미	[명사][방언]	NNG	00_00_00	가르마	6, 7, 9, 15, 20
가리보다	[동사][방언]	VV	00_00_00	흘겨보다	15
가림	[명사][방언]	NNG	00_00_00	가르마	15
가마구	[명사][방언]	NNG	00_00_00	까마귀	4, 6, 8, 9, 10, 13, 14, 15, 18, 19
가마뚜께	[명사][방언]	NNG	00_00_00	솥뚜껑	15, 16
가마무치	[명사][방언]	NNG	00_00_00	가물치	15
가마보	[명사][방언]	NNG	00_00_00	대들보	15
가막저구리	[명사][방언]	NNG	00_00_00	까막딱따구리	15, 16
가막조가리	[명사][방언]	NNG	00_00_00	까막딱따구리	15, 16
가막조구리	[명사][방언]	NNG	00_00_00	까막딱따구리	15, 16
가막청조거리	[명사][방언]	NNG	00_00_00	까막딱따구리	15
가매	[명사][방언]	NNG	02_00_00	솥	15, 16
가매드봉	[명사][방언]	NNG	00_00_00	가마뚜껑	15
가매드붕	[명사][방언]	NNG	00_00_00	솥뚜껑	15
가매떠깨	[명사][방언]	NNG	00_00_00	솥뚜껑	15, 16
가매뚜껑	[명사][방언]	NNG	00_00_00	솥뚜껑	4, 13, 14, 15, 16
가매뚜께	[명사][방언]	NNG	00_00_00	가마뚜껑	15
가매뚜베	[명사][방언]	NNG	00_00_00	가마뚜껑	15
가매뚜베	[명사][방언]	NNG	01_00_00	솥뚜껑	15, 16
가매뚜벵	[명사][방언]	NNG	00_00_00	가마뚜껑	15
가매뜨꿩	[명사][방언]	NNG	00_00_00	솥뚜껑	4, 15, 16
가매뜨붕	[명사][방언]	NNG	00_00_00	솥뚜껑	15
가매뜨비	[명사][방언]	NNG	00_00_00	솥뚜껑	15, 16
가매띠베	[명사][방언]	NNG	00_00_00	솥뚜껑	15, 16
가매띠비	[명사][방언]	NNG	00_00_00	솥뚜껑	15, 16
가매목	[명사][방언]	NNG	00_00_00	부뚜막	15, 16
가매부	[명사][방언]	NNG	00_00_00	들보	15, 16, 18, 20
가매솔	[명사][방언]	NNG	00_00_00	솥솔	13, 14, 15, 16, 18, 19, 20
가매전	[명사][방언]	NNG	00_00_00	가맛전	15, 16
가맷보	[명사][방언]	NNG	00_00_00	들보	15, 16
가맷전	[명사][방언]	NNG	00_00_00	부뚜막	15, 16
가무지	[명사][방언]	NNG	00_00_00	깜부기	15, 16
가문기	[명사][방언]	NNG	00_00_00	갈가마귀	15, 16
가바시	[명사][방언]	NNG	00_00_00	가시버시	14, 15
가바씨	[명사][방언]	NNG	00_00_00	부부	15
가부리	[명사][방언]	NNG	00_00_00	가오리	6, 7, 15
가부춤	[명사][방언]	NNG	00_00_00	허리춤	15
가비	[명사][방언]	NNG	01_00_00	바지	15, 16
가새다리	[명사][방언]	NNG	00_00_00	가위다리	4, 5, 7, 8, 9, 13, 15, 16, 18, 20
가새비	[명사][방언]	NNG	00_00_00	가시아비	15, 16
가세미	[명사][방언]	NNG	00_00_00	장모	15, 16
가스락	[명사][방언]	NNG	01_00_00	추녀	15
가스락물	[명사][방언]	NNG	00_00_00	낙숫물	15
가스래	[명사][방언]	NNG	00_00_00	개간지	15
가스아바이	[명사][방언]	NNG	00_00_00	가시아버지	15, 16
가스아바지	[명사][방언]	NNG	00_00_00	가시아버지	15, 16, 18, 20
가스아버지	[명사][방언]	NNG	02_00_00	시아버지	15
가스애비	[명사][방언]	NNG	00_00_00	가시아비	15
가스어마이	[명사][방언]	NNG	00_00_00	가시어머니	15, 16, 18
가스어미	[명사][방언]	NNG	00_00_00	가시어머니	15
가스에미	[명사][방언]	NNG	00_00_00	가시어머니	15
가슬	[명사][방언]	NNG	01_00_00	가을	6, 7, 8, 15, 16
가슬	[명사][방언]	NNG	00_00_00	가을걷이	15, 16
가슬	[명사][방언]	NNG	03_00_00	숲	15, 16
가슬갈이	[명사][방언]	NNG	00_00_00	가을갈이	15, 16
가승	[명사][방언]	NNG	00_00_00	거스름돈	13, 14, 15, 17
