표제어	품사	세종태그	어깨번호	뜻풀이	지역
가갭다	[형용사][방언]	VA	00_00_00	가볍다	4, 15, 16, 18
가굽다	[형용사][방언]	VA	00_00_00	가볍다	4, 14, 15, 16
가금질	[명사][방언]	NNG	00_00_00	갈림길	16
가꾸루	[부사][방언]	MAG	00_00_00	거꾸로	13, 14, 16, 19
가꾸방질	[명사][방언]	NNG	00_00_00	곤두박질	16
가꿀르	[부사][방언]	MAG	00_00_00	거꾸로	16, 18
가냉이	[명사][방언]	NNG	00_00_00	졸참나무	16
가냐귀	[명사][방언]	NNG	00_00_00	갈까마귀	16
가느다	[형용사][방언]	VA	00_00_00	가늘다	4, 6, 7, 16, 20
가는다시	[명사][방언]	NNG	00_00_00	성냥	16
가는비	[명사][방언]	NNG	00_00_00	가랑비	5, 6, 8, 9, 11, 13, 14, 15, 16, 17, 18, 20
가다리	[명사][방언]	NNG	01_00_00	가랑이	15, 16
가달길	[명사][방언]	NNG	00_00_00	갈림길	16
가달두새	[명사][방언]	NNG	00_00_00	샅	16
가두기	[명사][방언]	NNG	01_00_00	가랑잎	4, 14, 15, 16
가두배	[명사][방언]	NNG	00_00_00	양배추	14, 15, 16, 20
가둑낭기	[명사][방언]	NNG	00_00_00	졸참나무	15, 16, 18, 20
가둑밤	[명사][방언]	NNG	00_00_00	도토리	16
가둑잎	[명사][방언]	NNG	00_00_00	가랑잎	4, 15, 16, 18, 19, 20
가둥각지	[명사][방언]	NNG	00_00_00	앙감질	16
가뜩으나	[부사][방언]	MAG	00_00_00	가뜩이나	16
가람나무	[명사][방언]	NNG	00_00_00	떡갈나무	15, 16
가랍	[명사][방언]	NNG	00_00_00	갈대	16
가랍다	[형용사][방언]	VA	00_00_00	가렵다	6, 8, 9, 10, 13, 15, 16, 18, 20
가래이	[명사][방언]	NNG	00_00_00	갈대	16
가래지	[명사][방언]	NNG	02_00_00	가라지	14, 16
가래토시	[명사][방언]	NNG	00_00_02	호두	16
가랭비	[명사][방언]	NNG	00_00_00	가랑비	7, 8, 11, 16
가럽다	[형용사][방언]	VA	00_00_00	가렵다	5, 7, 11, 16, 18, 20
가루보다	[동사][방언]	VV	00_00_00	가로보다	16, 18
가루제비	[명사][방언]	NNG	00_00_00	가로다지	16
가르보다	[동사][방언]	VV	00_00_00	흘겨보다	15, 16
가르비늘	[명사][방언]	NNG	00_00_00	가루비누	16
가름다시	[명사][방언]	NNG	00_00_00	성냥	16
가리금	[명사][방언]	NNG	00_00_00	가르마	16, 18
가림금	[명사][방언]	NNG	00_00_00	가르마	16, 18
가마더깨	[명사][방언]	NNG	00_00_00	솥뚜껑	16
가마뚜게	[명사][방언]	NNG	00_00_00	솥뚜껑	16
가마뚜께	[명사][방언]	NNG	00_00_00	솥뚜껑	15, 16
가마뚜꽈	[명사][방언]	NNG	00_00_00	솥뚜껑	16
가마뜨베	[명사][방언]	NNG	00_00_00	솥뚜껑	16
가마시	[명사][방언]	NNG	00_00_00	가마니	16, 18
가막저구리	[명사][방언]	NNG	00_00_00	까막딱따구리	15, 16
가막조가리	[명사][방언]	NNG	00_00_00	까막딱따구리	15, 16
가막조구리	[명사][방언]	NNG	00_00_00	까막딱따구리	15, 16
가만자이	[명사][방언]	NNG	00_00_00	검은자위	16
가매	[명사][방언]	NNG	02_00_00	솥	15, 16
가매덮개	[명사][방언]	NNG	00_00_00	솥뚜껑	16
가매덮괘	[명사][방언]	NNG	00_00_00	솥뚜껑	16
가매돞괘	[명사][방언]	NNG	00_00_00	솥뚜껑	16
가매떠깨	[명사][방언]	NNG	00_00_00	솥뚜껑	15, 16
가매뚜껑	[명사][방언]	NNG	00_00_00	솥뚜껑	4, 13, 14, 15, 16
가매뚜베	[명사][방언]	NNG	01_00_00	솥뚜껑	15, 16
가매뜨꿩	[명사][방언]	NNG	00_00_00	솥뚜껑	4, 15, 16
가매뜨베	[명사][방언]	NNG	00_00_00	솥뚜껑	16
가매뜨비	[명사][방언]	NNG	00_00_00	솥뚜껑	15, 16
가매띠배	[명사][방언]	NNG	00_00_00	소댕	16
가매띠베	[명사][방언]	NNG	00_00_00	솥뚜껑	15, 16
가매띠비	[명사][방언]	NNG	00_00_00	솥뚜껑	15, 16
가매목	[명사][방언]	NNG	00_00_00	부뚜막	15, 16
가매묵	[명사][방언]	NNG	00_00_00	부뚜막	16
가매부	[명사][방언]	NNG	00_00_00	들보	15, 16, 18, 20
가매솔	[명사][방언]	NNG	00_00_00	솥솔	13, 14, 15, 16, 18, 19, 20
가매솔비	[명사][방언]	NNG	00_00_00	솥솔	16, 18
가매없다	[형용사][방언]	VA	00_00_00	어림없다	16
가매전	[명사][방언]	NNG	00_00_00	가맛전	15, 16
가매티	[명사][방언]	NNG	00_00_00	누룽지	16
가맷무기	[명사][방언]	NNG	00_00_00	부뚜막	16
