표제어	품사	세종태그	어깨번호	뜻풀이	지역
가넝하다	[동사][방언]	VV	00_00_00	가능하다	17
가녁사리	[명사][방언]	NNG	00_00_00	가장자리	17
가는비	[명사][방언]	NNG	00_00_00	가랑비	5, 6, 8, 9, 11, 13, 14, 15, 16, 17, 18, 20
가따나	[부사][방언]	MAG	00_00_00	가뜩이나	13, 14, 15, 17
가럼우티	[명사][방언]	NNG	00_00_00	나들이옷	17
가로마	[명사][방언]	NNG	00_00_00	가르마	17
가루마	[명사][방언]	NNG	00_00_00	가르마	9, 11, 17
가름입성	[명사][방언]	NNG	00_00_00	나들이옷	17
가림옷	[명사][방언]	NNG	00_00_00	나들이옷	17
가립다	[형용사][방언]	VA	00_00_00	가렵다	4, 6, 7, 11, 17
가마떠꿍	[명사][방언]	NNG	00_00_00	솥뚜껑	17
가매떠꿍	[명사][방언]	NNG	00_00_00	솥뚜껑	14, 17
가법다	[형용사][방언]	VA	00_00_00	가볍다	4, 5, 8, 10, 12, 13, 14, 17, 19
가빕다	[형용사][방언]	VA	00_00_00	가볍다	14, 17
가소리	[명사][방언]	NNG	00_00_00	거스름	17
가수장	[명사][방언]	NNG	00_00_00	찬장	17
가승	[명사][방언]	NNG	00_00_00	거스름돈	13, 14, 15, 17
가시머니	[명사][방언]	NNG	00_00_00	가시어머니	17
가시옴마니	[명사][방언]	NNG	00_00_00	가시어머니	17
가올	[명사][방언]	NNG	00_00_00	가을	4, 5, 6, 17
가왜	[명사][방언]	NNG	00_00_00	가위	4, 7, 13, 17, 20
가울	[명사][방언]	NNG	00_00_00	가을	4, 5, 10, 11, 13, 17
가웨	[명사][방언]	NNG	00_00_00	가위	7, 12, 13, 17, 20
가장	[부사][방언]	MAG	05_00_00	갓	17
가조오다	[동사][방언]	VV	00_00_00	가져오다	17
가주오다	[동사][방언]	VV	00_00_00	가져오다	4, 6, 7, 8, 9, 12, 15, 16, 17
가지	[부사][방언]	MAG	05_00_00	갓	6, 7, 17
가지오다	[동사][방언]	VV	00_00_00	가져오다	5, 6, 8, 15, 17
가파릅다	[형용사][방언]	VA	00_00_00	가파르다	17
간께이	[명사][방언]	NNG	00_00_00	공기	17
간끼	[명사][방언]	NNG	00_00_00	공기	17
간나이	[명사][방언]	NNG	00_00_00	계집아이	17
간낭배추	[명사][방언]	NNG	00_00_00	양배추	17
갈귀	[명사][방언]	NNG	00_00_00	갈퀴	10, 11, 17
갈랑비	[명사][방언]	NNG	00_00_01	가랑비	17
갈래이	[명사][방언]	NNG	00_00_00	가랑이	17
갈랭이	[명사][방언]	NNG	00_00_00	가랑이	17
갈루	[명사][방언]	NNG	01_00_00	가루	17
갈루다	[동사][방언]	VV	00_00_00	가르다	17
갈보전	[명사][방언]	NNG	00_00_00	삿자리	17
